,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
130,100000,1,1,100,TRUE,2,lmm,1.186142039,1.184693217,1.001365542,50,559.6567822
131,100000,1,1,100,TRUE,2,ignore,2.206370578,,,23,126.4194198
132,100000,1,1,100,TRUE,2,embed,1.142724034,,,23,193.9794779
133,100000,1,1,100,TRUE,3,ohe,1.215140256,,,33,186.5526662
134,100000,1,1,100,TRUE,3,lmm,1.065921219,1.13463068,0.955077946,81,785.8291564
135,100000,1,1,100,TRUE,3,ignore,2.118119356,,,17,103.389245
136,100000,1,1,100,TRUE,3,embed,1.215022712,,,36,340.8824196
137,100000,1,1,100,TRUE,4,ohe,1.198828545,,,22,159.1514235
138,100000,1,1,100,TRUE,4,lmm,1.113066069,1.128160119,0.940352261,45,477.8176141
139,100000,1,1,100,TRUE,4,ignore,2.118253844,,,30,170.6744487
140,100000,1,1,100,TRUE,4,embed,1.164681983,,,49,427.8447886
141,100000,1,1,100,TRUE,5,ohe,1.244776765,,,14,82.82490587
142,100000,1,1,100,TRUE,5,lmm,1.163206963,1.15638411,1.195736289,55,541.5869987
143,100000,1,1,100,TRUE,5,ignore,2.353841081,,,17,98.47858357
144,100000,1,1,100,TRUE,5,embed,1.256287726,,,20,170.9083889
145,100000,1,1,100,TRUE,6,ohe,1.284115643,,,43,309.0723832
146,100000,1,1,100,TRUE,6,lmm,1.176186916,1.146033287,1.117688298,82,1328.007185
147,100000,1,1,100,TRUE,6,ignore,2.319386125,,,14,99.44429088
148,100000,1,1,100,TRUE,6,embed,1.227336214,,,28,279.5444977
149,100000,1,1,100,TRUE,7,ohe,1.199839092,,,24,174.4110577
150,100000,1,1,100,TRUE,7,lmm,1.129146672,1.182708979,1.146505475,49,797.2429037
151,100000,1,1,100,TRUE,7,ignore,2.327014333,,,20,141.4925904
152,100000,1,1,100,TRUE,7,embed,1.226842369,,,17,165.0535619
153,100000,1,1,100,TRUE,8,ohe,1.245498933,,,28,202.1194301
154,100000,1,1,100,TRUE,8,lmm,1.146354891,1.173403144,1.053005815,46,752.8173599
155,100000,1,1,100,TRUE,8,ignore,2.236194642,,,41,291.3702364
156,100000,1,1,100,TRUE,8,embed,1.21300179,,,20,199.7412972
157,100000,1,1,100,TRUE,9,ohe,1.254584807,,,14,102.7066538
158,100000,1,1,100,TRUE,9,lmm,1.143545367,1.13805449,0.890676379,62,1014.117591
159,100000,1,1,100,TRUE,9,ignore,2.002613153,,,16,114.0160151
160,100000,1,1,100,TRUE,9,embed,1.198800347,,,29,290.5847836
161,100000,1,1,1000,TRUE,0,ohe,1.396686999,,,12,107.1932402
162,100000,1,1,1000,TRUE,0,lmm,1.135393808,1.132152081,0.963988125,103,1695.092821
163,100000,1,1,1000,TRUE,0,ignore,2.119513167,,,34,241.591826
164,100000,1,1,1000,TRUE,0,embed,1.296881635,,,15,145.5540295
165,100000,1,1,1000,TRUE,1,ohe,1.430076283,,,21,185.6707978
166,100000,1,1,1000,TRUE,1,lmm,1.182371618,1.116069436,1.015163183,85,1420.726668
167,100000,1,1,1000,TRUE,1,ignore,2.156965357,,,41,289.8266146
168,100000,1,1,1000,TRUE,1,embed,1.307951402,,,25,239.901896
169,100000,1,1,1000,TRUE,2,ohe,1.389169719,,,15,133.3552091
170,100000,1,1,1000,TRUE,2,lmm,1.200824546,1.196848631,0.957325161,37,622.7463837
171,100000,1,1,1000,TRUE,2,ignore,2.094905301,,,38,269.1353705
172,100000,1,1,1000,TRUE,2,embed,1.358979901,,,26,246.252914
173,100000,1,1,1000,TRUE,3,ohe,1.369714728,,,24,211.9179564
174,100000,1,1,1000,TRUE,3,lmm,1.141587611,1.146137714,0.992378294,47,787.5236454
175,100000,1,1,1000,TRUE,3,ignore,2.146045792,,,27,189.2361343
176,100000,1,1,1000,TRUE,3,embed,1.297152953,,,15,154.4521127
177,100000,1,1,1000,TRUE,4,ohe,1.342756538,,,16,141.6772647
178,100000,1,1,1000,TRUE,4,lmm,1.165875797,1.154814243,1.007908225,69,1146.953791
179,100000,1,1,1000,TRUE,4,ignore,2.131510251,,,36,254.6676321
180,100000,1,1,1000,TRUE,4,embed,1.28832242,,,15,148.6853447
181,100000,1,1,1000,TRUE,5,ohe,1.382651322,,,14,124.1775956
182,100000,1,1,1000,TRUE,5,lmm,1.149931701,1.129933953,1.004562616,99,1644.081074
183,100000,1,1,1000,TRUE,5,ignore,2.126097371,,,23,161.7859533
184,100000,1,1,1000,TRUE,5,embed,1.333076038,,,23,217.9995973
185,100000,1,1,1000,TRUE,6,ohe,1.500316641,,,14,124.0277729
186,100000,1,1,1000,TRUE,6,lmm,1.186099434,1.139160156,1.045318604,84,1398.373914
187,100000,1,1,1000,TRUE,6,ignore,2.260202462,,,26,183.949265
188,100000,1,1,1000,TRUE,6,embed,1.393349225,,,18,184.248349
189,100000,1,1,1000,TRUE,7,ohe,1.371118295,,,22,193.7048159
190,100000,1,1,1000,TRUE,7,lmm,1.152607637,1.164721489,1.000513792,65,1082.806654
