id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
114,100000,1,1,100,TRUE,3,ohe,1.197377978,,,39,206.8101754
115,100000,1,1,100,TRUE,4,embed,1.281813919,,,29,233.7972715
116,100000,1,1,100,TRUE,4,ignore,2.28594122,,,32,176.6147404
117,100000,1,1,100,FALSE,4,lme4,2.966528764,2.889762028,1.160997324,,0.870170832
118,100000,1,1,100,TRUE,4,lmm,1.09674542,1.122326136,0.901656091,47,421.2769933
119,100000,1,1,100,TRUE,4,menet,1.262102639,1.235987223,,60,956.1315904
120,100000,1,1,100,TRUE,4,ohe,1.240474413,,,38,203.0797052
121,100000,1,1,1000,TRUE,0,embed,1.307947106,,,16,126.6297264
122,100000,1,1,1000,TRUE,0,ignore,2.132790213,,,15,82.40841675
123,100000,1,1,1000,FALSE,0,lme4,2.91527905,2.908274045,0.942824099,,0.722153902
124,100000,1,1,1000,TRUE,0,lmm,1.134235086,1.129899621,1.017359257,35,322.3380885
125,100000,1,1,1000,TRUE,0,menet,2.12441079,2.074374499,,430,4702.866859
126,100000,1,1,1000,TRUE,0,ohe,1.428181872,,,18,102.55496
127,100000,1,1,1000,TRUE,1,embed,1.2791192,,,24,203.2676466
128,100000,1,1,1000,TRUE,1,ignore,2.233924315,,,17,89.71111178
129,100000,1,1,1000,FALSE,1,lme4,2.936536829,2.914319192,1.128657757,,0.889968157
130,100000,1,1,1000,TRUE,1,lmm,1.161547872,1.140540957,1.098776221,20,181.9690762
131,100000,1,1,1000,TRUE,1,menet,1.664260229,1.608764396,,240,2643.943922
132,100000,1,1,1000,TRUE,1,ohe,1.411358958,,,16,92.0642736
133,100000,1,1,1000,TRUE,2,embed,1.26712176,,,17,142.6455228
134,100000,1,1,1000,TRUE,2,ignore,2.173121007,,,16,85.30424547
135,100000,1,1,1000,FALSE,2,lme4,2.967333739,2.90486191,0.984230507,,0.903999805
136,100000,1,1,1000,TRUE,2,lmm,1.112794655,1.140417337,1.033557534,35,319.9533453
137,100000,1,1,1000,TRUE,2,menet,1.34723965,1.285204119,,500,5477.769424
138,100000,1,1,1000,TRUE,2,ohe,1.380174507,,,20,116.0797977
139,100000,1,1,1000,TRUE,3,embed,1.256032483,,,41,333.9604645
140,100000,1,1,1000,TRUE,3,ignore,2.29746541,,,14,73.94203615
141,100000,1,1,1000,FALSE,3,lme4,2.87704238,2.920994438,0.935406433,,0.711997986
142,100000,1,1,1000,TRUE,3,lmm,1.182727417,1.117662787,0.985405385,44,396.1159296
143,100000,1,1,1000,TRUE,3,menet,1.214827984,1.164686729,,500,5454.138994
144,100000,1,1,1000,TRUE,3,ohe,1.383053682,,,23,131.5016682
145,100000,1,1,1000,TRUE,4,embed,1.323160004,,,19,161.3499296
146,100000,1,1,1000,TRUE,4,ignore,2.163676621,,,18,97.20919633
147,100000,1,1,1000,FALSE,4,lme4,2.986285266,2.882598633,0.911744415,,0.725008011
148,100000,1,1,1000,TRUE,4,lmm,1.116227861,1.149847627,1.00235343,28,250.7419116
149,100000,1,1,1000,TRUE,4,menet,1.277906475,1.227435888,,500,5501.659842
150,100000,1,1,1000,TRUE,4,ohe,1.372295214,,,22,126.3458321
151,100000,1,1,10000,TRUE,0,embed,1.692204611,,,14,123.2353148
152,100000,1,1,10000,TRUE,0,ignore,2.143964076,,,39,209.249368
153,100000,1,1,10000,FALSE,0,lme4,3.278617547,2.916066475,0.987168709,,1.074981213
154,100000,1,1,10000,TRUE,0,lmm,1.249414955,1.163406134,1.017890453,38,363.36215
155,100000,1,1,10000,TRUE,0,menet,1.54745444,1.18608837,,300,3064.391526
156,100000,1,1,10000,TRUE,0,ohe,1.699481586,,,14,154.4486027
157,100000,1,1,10000,TRUE,1,embed,1.672198127,,,14,131.4666171
158,100000,1,1,10000,TRUE,1,ignore,2.191413919,,,20,106.6685467
159,100000,1,1,10000,FALSE,1,lme4,3.196458556,2.916454949,0.982226422,,1.086996794
160,100000,1,1,10000,TRUE,1,lmm,1.228211049,1.146455288,1.026534796,46,440.5962758
161,100000,1,1,10000,TRUE,1,menet,1.592876451,1.258190609,,300,3068.847947
162,100000,1,1,10000,TRUE,1,ohe,1.660765794,,,13,145.4426382
163,100000,1,1,10000,TRUE,2,embed,1.641066287,,,14,122.0575297
164,100000,1,1,10000,TRUE,2,ignore,2.133232806,,,22,115.5411925
165,100000,1,1,10000,FALSE,2,lme4,3.17703254,2.90815008,0.999860154,,0.912964106
166,100000,1,1,10000,TRUE,2,lmm,1.291938956,1.112686515,1.013352633,42,407.1355603
167,100000,1,1,10000,TRUE,2,menet,1.479232639,1.234186259,,300,3092.084217
168,100000,1,1,10000,TRUE,2,ohe,1.6470315,,,12,135.1478066
169,100000,1,1,10000,TRUE,3,embed,1.685441148,,,14,119.6745713
170,100000,1,1,10000,TRUE,3,ignore,2.26617701,,,21,113.9965544
171,100000,1,1,10000,FALSE,3,lme4,3.254205976,2.898607353,0.967661118,,1.105965137
172,100000,1,1,10000,TRUE,3,lmm,1.223581439,1.142343402,0.996693909,41,396.9834003
173,100000,1,1,10000,TRUE,3,menet,1.824945182,1.276476775,,300,3061.07285
174,100000,1,1,10000,TRUE,3,ohe,1.695316669,,,15,162.5181227
175,100000,1,1,10000,TRUE,4,embed,1.674156627,,,13,114.6581023
176,100000,1,1,10000,TRUE,4,ignore,2.228602987,,,21,113.0832722
177,100000,1,1,10000,FALSE,4,lme4,3.196093855,2.891931598,0.963401713,,0.920042038
178,100000,1,1,10000,TRUE,4,lmm,1.346837386,1.208458185,0.985298753,13,127.7104087
179,100000,1,1,10000,TRUE,4,menet,1.555204635,1.222288285,,300,3050.668239
180,100000,1,1,10000,TRUE,4,ohe,1.716522525,,,14,154.6648254
181,100000,1,10,100,TRUE,0,embed,1.739896805,,,22,176.3683891
182,100000,1,10,100,TRUE,0,ignore,11.65372903,,,33,169.9305861
183,100000,1,10,100,FALSE,0,lme4,2.973227717,2.918909313,11.50435324,,0.874003172
184,100000,1,10,100,TRUE,0,lmm,1.111497849,1.147486448,11.28830719,34,305.6830313
185,100000,1,10,100,TRUE,0,menet,2.276417875,2.189989766,,47,709.8106239
186,100000,1,10,100,TRUE,0,ohe,1.628585974,,,21,113.0907629
187,100000,1,10,100,TRUE,1,embed,1.576914044,,,28,221.9681973
188,100000,1,10,100,TRUE,1,ignore,11.97450792,,,28,146.603754
189,100000,1,10,100,FALSE,1,lme4,2.897882088,2.942021822,9.984713189,,0.876600027
190,100000,1,10,100,TRUE,1,lmm,1.098350871,1.124132276,6.918514252,27,246.8796513
191,100000,1,10,100,TRUE,1,menet,1.344026617,1.330109599,,59,984.7361896
192,100000,1,10,100,TRUE,1,ohe,1.426539191,,,15,80.01054478
193,100000,1,10,100,TRUE,2,embed,1.585619912,,,34,268.7233326
194,100000,1,10,100,TRUE,2,ignore,11.28086796,,,20,105.0229299
195,100000,1,10,100,FALSE,2,lme4,2.912014977,2.898757574,10.92229195,,0.670044899
196,100000,1,10,100,TRUE,2,lmm,1.106978807,1.141184449,7.857232571,42,377.1292958
197,100000,1,10,100,TRUE,2,menet,1.468565965,1.435115952,,80,1255.295917
198,100000,1,10,100,TRUE,2,ohe,1.4929992,,,14,74.78043127
199,100000,1,10,100,TRUE,3,embed,1.465430805,,,14,104.9213769
200,100000,1,10,100,TRUE,3,ignore,11.17104268,,,21,109.3640747
201,100000,1,10,100,FALSE,3,lme4,2.960614395,2.88492791,8.226257633,,0.843575954
202,100000,1,10,100,TRUE,3,lmm,1.070132402,1.124232173,12.20748806,40,364.1773374
203,100000,1,10,100,TRUE,3,menet,1.73317552,1.683406049,,89,1457.863297
204,100000,1,10,100,TRUE,3,ohe,1.624864237,,,28,149.2980411
205,100000,1,10,100,TRUE,4,embed,1.470466041,,,28,208.2015111
206,100000,1,10,100,TRUE,4,ignore,11.68592161,,,20,103.4245403
207,100000,1,10,100,FALSE,4,lme4,2.905543816,2.849664479,11.76116804,,0.684033871
208,100000,1,10,100,TRUE,4,lmm,1.089708596,1.115587234,10.11463737,37,339.7430451
209,100000,1,10,100,TRUE,4,menet,2.443279185,2.376065608,,52,875.92693
210,100000,1,10,100,TRUE,4,ohe,1.868682471,,,12,65.43832421
211,100000,1,10,1000,TRUE,0,embed,1.857256506,,,27,214.3919153
212,100000,1,10,1000,TRUE,0,ignore,12.00830833,,,24,125.2971148
213,100000,1,10,1000,FALSE,0,lme4,2.992454626,2.885154451,10.10699208,,0.727032185
214,100000,1,10,1000,TRUE,0,lmm,1.130176186,1.147978306,10.34167862,40,366.1066663
215,100000,1,10,1000,TRUE,0,menet,1.748288909,1.66776214,,287,3037.268506
216,100000,1,10,1000,TRUE,0,ohe,1.777491513,,,22,126.7488852
217,100000,1,10,1000,TRUE,1,embed,1.567379553,,,26,207.6325066
218,100000,1,10,1000,TRUE,1,ignore,10.50036316,,,22,116.1284294
219,100000,1,10,1000,FALSE,1,lme4,2.895043645,2.879370405,10.316342,,0.865000963
220,100000,1,10,1000,TRUE,1,lmm,1.114809785,1.122987032,9.397354126,38,349.5751896
221,100000,1,10,1000,TRUE,1,menet,1.9406751,1.876052956,,178,1888.083863
222,100000,1,10,1000,TRUE,1,ohe,1.717342144,,,13,75.44788361
223,100000,1,10,1000,TRUE,2,embed,1.628433327,,,26,222.39428
224,100000,1,10,1000,TRUE,2,ignore,11.61008824,,,37,192.625736
225,100000,1,10,1000,FALSE,2,lme4,2.956692327,2.878909864,10.55708245,,0.72756505
226,100000,1,10,1000,TRUE,2,lmm,1.101342815,1.128207803,10.26748848,48,436.5845647
227,100000,1,10,1000,TRUE,2,menet,1.668782854,1.588886464,,325,3404.658979
228,100000,1,10,1000,TRUE,2,ohe,1.694440742,,,12,69.57487845
229,100000,1,10,1000,TRUE,3,embed,1.84140983,,,28,229.2878244
230,100000,1,10,1000,TRUE,3,ignore,11.26837351,,,29,160.8478699
231,100000,1,10,1000,FALSE,3,lme4,2.842397223,2.918155787,10.06771576,,0.908041954
232,100000,1,10,1000,TRUE,3,lmm,1.108080607,1.150101542,10.00765228,32,291.8984983
233,100000,1,10,1000,TRUE,3,menet,2.604721205,2.047714889,,56,588.6589015
234,100000,1,10,1000,TRUE,3,ohe,1.636795838,,,16,92.41271067
235,100000,1,10,1000,TRUE,4,embed,1.686504016,,,17,142.5788693
236,100000,1,10,1000,TRUE,4,ignore,10.78644022,,,23,126.1530485
237,100000,1,10,1000,FALSE,4,lme4,2.981433842,2.899240594,9.151971298,,0.686663151
238,100000,1,10,1000,TRUE,4,lmm,1.143334298,1.121046662,9.356278419,39,353.6135921
239,100000,1,10,1000,TRUE,4,menet,2.07284015,1.807844408,,133,1431.387653
240,100000,1,10,1000,TRUE,4,ohe,1.694744053,,,20,115.4908152
241,100000,1,10,10000,TRUE,0,embed,2.303013745,,,17,147.5941877
242,100000,1,10,10000,TRUE,0,ignore,10.86322535,,,21,115.8676319
243,100000,1,10,10000,FALSE,0,lme4,3.271925884,2.912515039,10.15817648,,1.035586119
244,100000,1,10,10000,TRUE,0,lmm,1.306174415,1.13696754,9.765583038,37,355.1607244
245,100000,1,10,10000,TRUE,0,menet,1.678277956,1.34419603,,300,3045.221475
246,100000,1,10,10000,TRUE,0,ohe,2.428051931,,,13,144.2101033
247,100000,1,10,10000,TRUE,1,embed,2.234353243,,,19,166.8352234
248,100000,1,10,10000,TRUE,1,ignore,11.38373218,,,25,135.4087706
249,100000,1,10,10000,FALSE,1,lme4,3.289518403,2.931976862,10.07145325,,1.034583092
250,100000,1,10,10000,TRUE,1,lmm,1.296131214,1.125385642,10.18935871,25,245.4597163
251,100000,1,10,10000,TRUE,1,menet,3.616459261,2.926912303,,300,3052.746089
252,100000,1,10,10000,TRUE,1,ohe,2.101646367,,,15,163.2711208
253,100000,1,10,10000,TRUE,2,embed,2.1787232,,,20,177.2240214
254,100000,1,10,10000,TRUE,2,ignore,11.34445148,,,25,135.9839535
255,100000,1,10,10000,FALSE,2,lme4,3.38331772,2.885458046,10.03735495,,0.84110117
256,100000,1,10,10000,TRUE,2,lmm,1.313724199,1.138342023,9.912008286,43,412.2345335
257,100000,1,10,10000,TRUE,2,menet,2.50682486,1.796956624,,300,3050.709529
258,100000,1,10,10000,TRUE,2,ohe,2.272304007,,,21,214.7405145
259,100000,1,10,10000,TRUE,3,embed,1.931146983,,,18,153.0802822
260,100000,1,10,10000,TRUE,3,ignore,11.11972432,,,37,203.0385408
261,100000,1,10,10000,FALSE,3,lme4,3.375028641,2.925519299,9.985210846,,0.873999119
262,100000,1,10,10000,TRUE,3,lmm,1.319615284,1.11101675,9.982568741,46,440.1203926
263,100000,1,10,10000,TRUE,3,menet,3.563537977,2.380762674,,300,3054.353688
264,100000,1,10,10000,TRUE,3,ohe,2.279372613,,,18,189.3759265
265,100000,1,10,10000,TRUE,4,embed,2.250592869,,,17,149.1331732
266,100000,1,10,10000,TRUE,4,ignore,11.33148699,,,36,189.2702997
267,100000,1,10,10000,FALSE,4,lme4,3.299438101,2.907797429,9.846032939,,1.027127981
268,100000,1,10,10000,TRUE,4,lmm,1.343349325,1.133972287,9.917022705,33,316.2502952
269,100000,1,10,10000,TRUE,4,menet,2.650587584,2.176130609,,300,3053.150229
270,100000,1,10,10000,TRUE,4,ohe,2.49136125,,,14,153.9358392
