id,mode,N,sig2e,sig2b,q,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
259,intercepts,100000,1,0.1,10000,3,menet,3.855031284,1.853348459,,300,3098.050543
260,intercepts,100000,1,0.1,10000,4,menet,2.958834849,1.821985533,,300,3101.569116
261,intercepts,100000,1,1,10000,0,menet,55.85425111,18.33111327,,82,849.9895089
262,intercepts,100000,1,1,10000,1,menet,135.9140008,75.02681946,,12,128.3903205
263,intercepts,100000,1,1,10000,2,menet,19.7870879,12.66193855,,300,3118.64764
264,intercepts,100000,1,1,10000,3,menet,86.34035058,35.14850194,,188,860.0205959
265,intercepts,100000,1,1,10000,4,menet,95.96737303,50.43201017,,149,1943.409139
266,intercepts,100000,1,10,10000,0,menet,982.8636414,497.1455148,,18,190.8881891
267,intercepts,100000,1,10,10000,1,menet,528.9827893,360.976897,,12,130.4270046
268,intercepts,100000,1,10,10000,2,menet,760.8064561,396.520932,,30,311.6099529
269,intercepts,100000,1,10,10000,3,menet,642.1884774,370.7363256,,21,148.0655107
270,intercepts,100000,1,10,10000,4,menet,710.7859067,378.7737986,,15,159.5990251
