,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
101,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,ignore,7.669705344,,,,,28,34.92844868
102,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,embed,1.67505368,,,,,16,36.5693922
103,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,ohe,1.978783992,,,,,31,95.54902005
104,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,ignore,7.515200649,,,,,24,30.61834598
105,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,embed,1.769337263,,,,,16,35.92693973
106,intercepts,100000,1,3,3,3,1000,2000,3000,0,ohe,2.249768473,,,,,18,64.94987202
107,intercepts,100000,1,3,3,3,1000,2000,3000,0,ignore,10.39028415,,,,,36,44.16683531
108,intercepts,100000,1,3,3,3,1000,2000,3000,0,embed,1.790315488,,,,,16,36.46151662
109,intercepts,100000,1,3,3,3,1000,2000,3000,1,ohe,2.22038749,,,,,20,69.87531185
110,intercepts,100000,1,3,3,3,1000,2000,3000,1,ignore,9.66860354,,,,,32,39.87508941
111,intercepts,100000,1,3,3,3,1000,2000,3000,1,embed,1.817483233,,,,,19,43.10038972
112,intercepts,100000,1,3,3,3,1000,2000,3000,2,ohe,2.12912283,,,,,20,70.38022733
113,intercepts,100000,1,3,3,3,1000,2000,3000,2,ignore,10.26950373,,,,,46,57.20859599
114,intercepts,100000,1,3,3,3,1000,2000,3000,2,embed,2.054194277,,,,,17,38.99744153
115,intercepts,100000,1,3,3,3,1000,2000,3000,3,ohe,2.073115195,,,,,18,65.75659657
116,intercepts,100000,1,3,3,3,1000,2000,3000,3,ignore,10.27548615,,,,,23,29.33942223
117,intercepts,100000,1,3,3,3,1000,2000,3000,3,embed,2.008411534,,,,,22,50.43619871
118,intercepts,100000,1,3,3,3,1000,2000,3000,4,ohe,2.159748108,,,,,19,69.33811426
119,intercepts,100000,1,3,3,3,1000,2000,3000,4,ignore,10.45784177,,,,,24,30.51553249
120,intercepts,100000,1,3,3,3,1000,2000,3000,4,embed,1.932618089,,,,,16,36.33826828
121,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,lmm,1.200589627,1.1100267,0.2926326,0.3433885,0.32420805,93,345.2216091
122,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,lmm,1.164713526,1.1399194,0.27040824,0.2887417,0.2771837,38,148.9248676
123,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,lmm,1.125470059,1.0952562,0.28193027,0.29781023,0.28944156,65,245.9708838
124,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,lmm,1.129238213,1.1255329,0.2750641,0.3190899,0.2931013,73,270.7075868
125,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,lmm,1.177165626,1.113583,0.3413668,0.3040882,0.31713197,57,217.8615217
126,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,lmm,1.170285622,1.1211195,0.30625033,0.33721974,2.9485238,53,221.6070628
127,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,lmm,1.163560013,1.1448702,0.3025022,0.29764736,3.0205827,36,162.4325516
128,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,lmm,1.157440033,1.1187398,0.33815196,0.2858044,2.9325175,45,192.2435627
129,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,lmm,1.159991398,1.0947751,0.29977962,0.32290053,3.09459,53,222.0931253
130,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,lmm,1.194949954,1.1416955,0.27817577,0.27982834,3.0733867,35,160.9077969
131,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,lmm,1.127463712,1.1147411,0.2960908,2.877643,0.31071556,57,243.1877728
132,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,lmm,1.181907856,1.1278462,0.30459517,2.790048,0.27045164,38,179.271086
133,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,lmm,1.166264631,1.1262395,0.31554353,2.967007,0.31874335,51,227.4425392
134,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,lmm,1.12257627,1.1194012,0.2880091,2.9222825,0.29516724,44,199.245476
135,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,lmm,1.147606755,1.1176454,0.31061384,3.1449256,0.2961563,37,176.5446868
136,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,lmm,1.231480019,1.1348908,0.25503856,2.982931,3.1031294,41,201.3302736
137,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,lmm,1.147826649,1.1118319,0.3337001,2.980488,3.1199594,50,234.6523495
138,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,lmm,1.193569918,1.1471099,0.33874044,2.804009,3.1402547,44,207.5234976
139,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,lmm,1.161204977,1.1131378,0.3098674,2.9588268,3.075835,39,191.4877889
140,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,lmm,1.151522204,1.1071599,0.29572463,2.9818916,2.974877,59,263.8949974
141,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,lmm,1.140255692,1.1028283,2.7296927,0.29836887,0.29146725,46,222.3657181
142,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,lmm,1.166128788,1.1403389,3.0627337,0.30067536,0.2946868,31,172.4704306
143,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,lmm,1.16154908,1.1446782,2.910132,0.3257149,0.2852298,41,204.6243958
144,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,lmm,1.172902774,1.1278561,2.9504194,0.30117145,0.32732475,24,150.1783016
145,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,lmm,1.13844939,1.1241488,3.09046,0.30229294,0.29335213,47,226.4354234
146,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,lmm,1.141966433,1.1112233,2.9413838,0.27070493,2.9124181,53,261.1451938
147,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,lmm,1.151669615,1.1244762,2.8466563,0.32334748,3.083122,44,228.1429093
148,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,lmm,1.125760881,1.1423428,2.9767482,0.31203905,2.9417605,45,231.4382262
149,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,lmm,1.138690628,1.1059701,3.1184409,0.2892416,2.957449,63,297.3612745
150,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,lmm,1.237565386,1.1833558,2.766531,0.28793058,2.9272418,19,137.5448508
151,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,lmm,1.151433424,1.112059,2.8347178,3.1193526,0.28792566,57,285.6417243
152,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,lmm,1.15907629,1.1080294,2.9838517,3.0917802,0.27810416,44,241.419697
153,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,lmm,1.13825876,1.1309812,3.1380267,3.3089294,0.31965256,30,192.623863
154,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,lmm,1.090409579,1.0982164,3.0579214,2.949296,0.3260872,61,305.4390655
155,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,lmm,1.199143253,1.1422964,2.849554,3.1246662,0.3229447,57,281.6965692
156,intercepts,100000,1,3,3,3,1000,2000,3000,0,lmm,1.193152577,1.1186355,2.9630063,2.8836377,2.9586706,43,239.197937
157,intercepts,100000,1,3,3,3,1000,2000,3000,1,lmm,1.138686466,1.1111053,2.9224725,3.0529928,3.1897447,63,308.0110104
158,intercepts,100000,1,3,3,3,1000,2000,3000,2,lmm,1.189889195,1.1126227,3.4082334,3.0425467,2.947576,48,263.1324267
159,intercepts,100000,1,3,3,3,1000,2000,3000,3,lmm,1.152417743,1.1217841,3.1344519,2.8053505,2.9472594,41,233.0287578
160,intercepts,100000,1,3,3,3,1000,2000,3000,4,lmm,1.185733801,1.1357064,3.115529,2.8384042,2.8428593,51,268.7761579
161,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,0,lme4,3.019645418,2.851072743,0.320964017,0.281549618,0.303043331,0,5.09485507
162,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,1,lme4,3.042270845,2.88918442,0.271197035,0.293712527,0.297529426,0,4.279616833
163,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,2,lme4,3.038972313,2.916243225,0.333773868,0.283318831,0.307468775,0,4.038190842
164,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,3,lme4,3.068519487,2.882746485,0.295512339,0.28436107,0.333985058,0,4.367393017
165,intercepts,100000,1,0.3,0.3,0.3,1000,2000,3000,4,lme4,3.020468198,2.922229107,0.292848586,0.293482869,0.292871506,0,3.946502924
166,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,0,lme4,3.082624662,2.885335134,0.288362965,0.287990038,3.145348612,0,3.696639061
167,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,1,lme4,3.059751381,2.903939654,0.27509824,0.307871531,2.874646443,0,3.79480505
168,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,2,lme4,3.061104242,2.927343544,0.297918188,0.344355633,2.942526398,0,4.214559078
169,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,lme4,3.035099742,2.901053771,0.278131747,0.288225491,3.012178816,0,4.486396074
170,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,lme4,3.004660338,2.911688493,0.260034067,0.287047192,3.001477417,0,4.86417985
171,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,lme4,3.092130359,2.894061587,0.323393676,2.903060378,0.27884342,0,4.136162996
172,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,lme4,3.04739273,2.889064351,0.297996337,2.788492519,0.305583423,0,4.071322918
173,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,lme4,3.054275368,2.924701656,0.289965163,2.923985185,0.293698848,0,4.210589886
174,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,lme4,3.034852937,2.87589785,0.267024486,3.012970898,0.295893549,0,4.41821003
175,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,lme4,3.037074338,2.948259329,0.319844178,3.008576474,0.294484666,0,4.719663143
176,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,lme4,3.113829869,2.886669892,0.272704057,2.938859441,3.005251669,0,3.987672091
177,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,lme4,3.077810247,2.887814719,0.273518003,3.237227037,2.973098101,0,4.045259953
178,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,lme4,3.147733082,2.894201686,0.29027928,3.075551444,3.104086328,0,3.988742113
179,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,lme4,3.132836503,2.918734476,0.315573691,2.971473613,3.066270839,0,4.129067898
180,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,lme4,3.114779768,2.891064456,0.293840269,2.986745232,2.863839266,0,3.879896164
181,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,lme4,3.033743856,2.901721792,3.181805054,0.292585064,0.318274923,0,4.851629972
182,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,lme4,3.017557241,2.905134506,2.786292002,0.301126364,0.269218111,0,4.790583849
183,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,lme4,2.969221945,2.970275208,2.882803969,0.299727206,0.298362481,0,4.185483932
184,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,lme4,3.059053041,2.900367083,3.006713527,0.316059459,0.329387037,0,4.76711607
185,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,lme4,3.024726784,2.911049834,2.841161934,0.305144163,0.315012972,0,4.439213037
186,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,lme4,3.009114776,2.885241482,3.265903304,0.320780688,2.95787288,0,3.55684495
187,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,lme4,3.01814148,2.880279709,3.083972391,0.320982656,3.038198301,0,3.791094065
188,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,lme4,2.99609961,2.908378306,3.017444425,0.323419873,2.957531286,0,3.710206032
189,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,lme4,3.159959498,2.902521197,3.207198632,0.329425707,3.057523369,0,3.828093052
190,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,lme4,3.064148489,2.941907238,2.87781459,0.291095839,3.05150364,0,4.020009995
191,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,lme4,2.968729475,2.937914457,2.8355006,2.977584035,0.29276318,0,4.47393012
192,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,lme4,3.103514001,2.891956794,2.86043984,3.109342387,0.285800314,0,4.098156929
193,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,lme4,3.05051496,2.904597614,2.898894307,2.954508484,0.314315108,0,3.821820974
194,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,lme4,3.063667798,2.904055696,2.840719039,2.836024041,0.306830827,0,4.180320024
195,intercepts,100000,1,3,3,0.3,1000,2000,3000,4,lme4,3.070054335,2.891060994,3.047828542,3.039306954,0.314605055,0,3.779607058
196,intercepts,100000,1,3,3,3,1000,2000,3000,0,lme4,3.046458427,2.932237378,3.034340658,2.995463062,3.04707887,0,4.411585808
197,intercepts,100000,1,3,3,3,1000,2000,3000,1,lme4,3.112695947,2.881649095,2.835111312,2.809047756,3.00585272,0,4.043550014
198,intercepts,100000,1,3,3,3,1000,2000,3000,2,lme4,3.064776929,2.874359172,3.169073821,3.082429878,2.956485297,0,3.519035816
199,intercepts,100000,1,3,3,3,1000,2000,3000,3,lme4,3.076572711,2.899875788,3.135693702,3.009599388,3.00086503,0,3.393623114
200,intercepts,100000,1,3,3,3,1000,2000,3000,4,lme4,3.072055825,2.892495198,3.241280136,3.160597395,3.13402974,0,4.145798922
