,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
136,intercepts,100000,1,1,1000,2,menet,14.3382314,12.96445756,,153,1478.752463
137,intercepts,100000,1,1,1000,2,ohe,1.883673864,,,54,85.51597452
138,intercepts,100000,1,1,1000,3,embed,2.414904985,,,52,86.22745204
139,intercepts,100000,1,1,1000,3,ignore,30.01714287,,,42,51.30877638
140,intercepts,100000,1,1,1000,3,lme4,2.835179186,2.933191411,29.04495271,0,0.762614012
141,intercepts,100000,1,1,1000,3,lmm,1.310964534,0.29026592,2.3038132,16,60.50425959
142,intercepts,100000,1,1,1000,3,menet,5.863743334,5.30910663,,154,1499.331485
143,intercepts,100000,1,1,1000,3,ohe,2.214888646,,,51,75.38987947
144,intercepts,100000,1,1,1000,4,embed,1.95189271,,,34,57.15814495
145,intercepts,100000,1,1,1000,4,ignore,33.61165594,,,32,39.71048856
146,intercepts,100000,1,1,1000,4,lme4,2.933233082,2.890531781,36.62617225,0,0.769047976
147,intercepts,100000,1,1,1000,4,lmm,1.27365023,0.28413352,2.561665,16,60.89444208
148,intercepts,100000,1,1,1000,4,menet,5.348373106,5.038622577,,112,1088.136822
149,intercepts,100000,1,1,1000,4,ohe,1.607694144,,,29,45.61458969
150,intercepts,100000,1,1,1000,5,lme4,3.095017043,2.854676155,30.76808671,0,0.937721968
151,intercepts,100000,1,1,10000,0,embed,17.07917374,,,13,22.8034215
152,intercepts,100000,1,1,10000,0,ignore,330.3540753,,,23,29.18249893
153,intercepts,100000,1,1,10000,0,lmm,4.633753764,0.17044516,1.0891798,28,136.8989301
154,intercepts,100000,1,1,10000,0,menet,201.25103,58.99849209,,118,1315.248312
155,intercepts,100000,1,1,10000,0,ohe,17.66465431,,,13,98.92346191
156,intercepts,100000,1,1,10000,1,embed,9.495146063,,,28,47.57380819
157,intercepts,100000,1,1,10000,1,ignore,310.4697186,,,35,43.5399425
158,intercepts,100000,1,1,10000,1,lme4,4.090161341,2.938246686,336.9569973,0,0.830555916
159,intercepts,100000,1,1,10000,1,lmm,4.656734854,0.18316345,1.1757339,26,128.9749188
160,intercepts,100000,1,1,10000,1,menet,191.022729,114.1681627,,15,170.9737704
161,intercepts,100000,1,1,10000,1,ohe,14.95050595,,,13,96.03647614
162,intercepts,100000,1,1,10000,2,embed,16.87338628,,,35,58.88812637
163,intercepts,100000,1,1,10000,2,ignore,365.1999,,,46,56.75479579
164,intercepts,100000,1,1,10000,2,lme4,4.441591207,2.930994714,333.3597866,0,0.856568098
165,intercepts,100000,1,1,10000,2,lmm,4.587427726,0.17552719,1.1399392,26,128.8386803
166,intercepts,100000,1,1,10000,2,menet,23.48374081,11.20227047,,300,3322.84068
167,intercepts,100000,1,1,10000,2,ohe,9.721912569,,,18,107.3167689
168,intercepts,100000,1,1,10000,3,embed,23.35959058,,,13,22.84978318
169,intercepts,100000,1,1,10000,3,ignore,340.3820605,,,33,41.17530775
170,intercepts,100000,1,1,10000,3,lme4,4.270317678,2.914893612,354.1473447,0,0.965059996
171,intercepts,100000,1,1,10000,3,lmm,4.457026093,0.18540734,1.1683711,27,133.4990542
172,intercepts,100000,1,1,10000,3,menet,128.0974971,48.7479149,,279,3115.754222
173,intercepts,100000,1,1,10000,3,ohe,17.61841517,,,14,95.14541006
174,intercepts,100000,1,1,10000,4,embed,9.219464873,,,41,69.19815302
175,intercepts,100000,1,1,10000,4,ignore,316.4584583,,,27,33.69226909
176,intercepts,100000,1,1,10000,4,lme4,4.066210621,2.908820194,333.0951932,0,1.076004028
177,intercepts,100000,1,1,10000,4,lmm,4.103122707,0.1762375,1.1386333,27,133.0309992
178,intercepts,100000,1,1,10000,4,menet,172.8467667,76.48908443,,19,217.6974916
179,intercepts,100000,1,1,10000,4,ohe,8.876509878,,,48,199.1194427
180,intercepts,100000,1,1,10000,5,lme4,4.585815383,2.910582919,325.7492785,0,0.86823082
181,intercepts,100000,1,10,100,0,embed,2.340107237,,,28,47.03225088
182,intercepts,100000,1,10,100,0,ignore,28.14580002,,,32,39.74846792
183,intercepts,100000,1,10,100,0,lmm,1.150152796,1.0850568,9.207316,40,129.8833566
184,intercepts,100000,1,10,100,0,menet,19.83486039,19.44853959,,28,323.2175648
185,intercepts,100000,1,10,100,0,ohe,2.105212469,,,43,53.89967203
186,intercepts,100000,1,10,100,1,embed,3.319324661,,,12,20.97573757
187,intercepts,100000,1,10,100,1,ignore,38.74248818,,,42,51.1429956
188,intercepts,100000,1,10,100,1,lme4,2.867828641,2.887459312,18.88253809,0,0.728145838
189,intercepts,100000,1,10,100,1,lmm,1.162626501,1.0800844,7.901136,35,115.3607271
190,intercepts,100000,1,10,100,1,menet,13.25597146,12.58795168,,42,522.8022728
191,intercepts,100000,1,10,100,1,ohe,2.172910721,,,13,17.30914879
192,intercepts,100000,1,10,100,2,embed,2.415426709,,,29,48.71954274
193,intercepts,100000,1,10,100,2,ignore,45.16074795,,,28,34.25118852
194,intercepts,100000,1,10,100,2,lme4,2.896290472,2.878219573,29.39367897,0,0.690620899
195,intercepts,100000,1,10,100,2,lmm,1.085508984,1.077787,11.487616,45,144.5497265
196,intercepts,100000,1,10,100,2,menet,2.432499068,2.531739628,,51,591.4395308
197,intercepts,100000,1,10,100,2,ohe,2.516458413,,,18,42.40944672
198,intercepts,100000,1,10,100,3,embed,2.575467265,,,23,38.98503399
199,intercepts,100000,1,10,100,3,ignore,28.30799446,,,28,34.71039367
200,intercepts,100000,1,10,100,3,lme4,2.983449649,2.919380727,37.21952323,0,0.873425961
201,intercepts,100000,1,10,100,3,lmm,1.109771729,1.0934926,9.339588,56,176.1453054
202,intercepts,100000,1,10,100,3,menet,16.1146378,16.6045596,,65,744.4172089
203,intercepts,100000,1,10,100,3,ohe,2.596078896,,,15,20.25543284
204,intercepts,100000,1,10,100,4,embed,3.68696708,,,11,19.29587197
205,intercepts,100000,1,10,100,4,ignore,39.34311748,,,41,50.36933327
206,intercepts,100000,1,10,100,4,lme4,2.880408376,2.933248052,33.17147147,0,0.699624062
207,intercepts,100000,1,10,100,4,lmm,1.167838108,1.0859594,10.204664,56,177.262315
208,intercepts,100000,1,10,100,4,menet,8.489622196,8.79820441,,91,1065.62559
209,intercepts,100000,1,10,100,4,ohe,2.399249938,,,33,42.25984049
210,intercepts,100000,1,10,100,5,lme4,2.855748567,2.846596101,46.02909411,0,0.870347977
211,intercepts,100000,1,10,1000,0,embed,20.29202871,,,11,19.3959837
212,intercepts,100000,1,10,1000,0,ignore,362.5045319,,,25,31.51523709
213,intercepts,100000,1,10,1000,0,lmm,1.245783864,0.316827,5.497005,34,113.093513
214,intercepts,100000,1,10,1000,0,menet,141.3280842,128.8997554,,14,142.0142255
215,intercepts,100000,1,10,1000,0,ohe,9.088051004,,,12,21.66796017
216,intercepts,100000,1,10,1000,1,embed,10.3920878,,,12,20.91314006
217,intercepts,100000,1,10,1000,1,ignore,389.1382593,,,32,39.7481246
218,intercepts,100000,1,10,1000,1,lme4,2.959313432,2.872050396,371.5788985,0,0.711618185
219,intercepts,100000,1,10,1000,1,lmm,1.277301256,0.33400783,5.166562,21,75.60551548
220,intercepts,100000,1,10,1000,1,menet,227.4364683,127.4206788,,36,358.3501332
221,intercepts,100000,1,10,1000,1,ohe,10.91714648,,,12,21.12753773
222,intercepts,100000,1,10,1000,2,embed,15.89515672,,,11,19.35540247
223,intercepts,100000,1,10,1000,2,ignore,382.7078583,,,35,43.70773053
224,intercepts,100000,1,10,1000,2,lme4,2.883286169,2.885717487,368.8535138,0,0.750649929
225,intercepts,100000,1,10,1000,2,lmm,1.314851805,0.3242323,5.26634,21,74.94741702
226,intercepts,100000,1,10,1000,2,menet,122.3679099,109.385971,,12,124.2699356
227,intercepts,100000,1,10,1000,2,ohe,14.33599346,,,12,21.29767489
228,intercepts,100000,1,10,1000,3,embed,21.01246118,,,11,19.27356362
229,intercepts,100000,1,10,1000,3,ignore,438.7547896,,,13,16.77981305
230,intercepts,100000,1,10,1000,3,lme4,2.896595683,2.905091746,340.3925375,0,0.9358778
231,intercepts,100000,1,10,1000,3,lmm,1.406378496,0.3347227,5.708937,22,78.13975906
232,intercepts,100000,1,10,1000,3,menet,173.6467439,161.6210141,,12,123.3046544
233,intercepts,100000,1,10,1000,3,ohe,3.758061893,,,20,44.49295926
234,intercepts,100000,1,10,1000,4,embed,7.982305419,,,12,21.25176644
235,intercepts,100000,1,10,1000,4,ignore,336.1857043,,,19,24.07917333
236,intercepts,100000,1,10,1000,4,lme4,3.020636105,2.934369629,333.8840744,0,0.747032881
237,intercepts,100000,1,10,1000,4,lmm,1.313167607,0.32336655,5.751642,22,77.99681163
238,intercepts,100000,1,10,1000,4,menet,153.8828787,136.4767084,,13,130.3049223
239,intercepts,100000,1,10,1000,4,ohe,8.132881033,,,12,21.08607578
240,intercepts,100000,1,10,1000,5,lme4,3.038880145,2.869977403,274.2271987,0,0.757999897
241,intercepts,100000,1,10,10000,0,embed,160.4748374,,,15,25.93169808
242,intercepts,100000,1,10,10000,0,ignore,3401.438667,,,17,21.91879439
243,intercepts,100000,1,10,10000,0,lmm,17.32300842,0.28885373,4.759779,38,180.2852755
244,intercepts,100000,1,10,10000,0,menet,1962.226414,831.7466372,,38,431.0321119
245,intercepts,100000,1,10,10000,0,ohe,110.3415231,,,20,118.6947041
246,intercepts,100000,1,10,10000,1,embed,161.5738241,,,15,25.97771978
247,intercepts,100000,1,10,10000,1,ignore,3250.167873,,,19,24.27319503
248,intercepts,100000,1,10,10000,1,lme4,16.27574426,2.88853602,3308.718172,0,1.035184145
249,intercepts,100000,1,10,10000,1,lmm,12.07335082,0.3159437,4.872223,39,184.4290245
250,intercepts,100000,1,10,10000,1,menet,4633.809806,1013.678592,,38,430.2791629
251,intercepts,100000,1,10,10000,1,ohe,126.096191,,,17,113.1762588
252,intercepts,100000,1,10,10000,2,embed,113.0622608,,,43,83.26370621
253,intercepts,100000,1,10,10000,2,ignore,3307.177119,,,14,18.22786164
254,intercepts,100000,1,10,10000,2,lme4,16.1752016,2.923284087,3133.91331,0,1.042557001
255,intercepts,100000,1,10,10000,2,lmm,17.07587664,0.29149124,4.671055,38,179.9546509
256,intercepts,100000,1,10,10000,2,menet,2524.656771,892.2342874,,31,350.4768512
257,intercepts,100000,1,10,10000,2,ohe,77.25342063,,,17,108.8130245
258,intercepts,100000,1,10,10000,3,embed,198.5332997,,,15,26.12758684
259,intercepts,100000,1,10,10000,3,ignore,3371.768134,,,26,32.51378775
260,intercepts,100000,1,10,10000,3,lme4,14.80372513,2.879030521,3249.823343,0,0.856621027
261,intercepts,100000,1,10,10000,3,lmm,8.85849729,0.2968415,4.710247,40,187.2725346
262,intercepts,100000,1,10,10000,3,menet,2904.62079,1152.110334,,28,318.0228961
263,intercepts,100000,1,10,10000,3,ohe,47.86705355,,,31,158.1696303
264,intercepts,100000,1,10,10000,4,embed,133.877852,,,20,34.32108045
265,intercepts,100000,1,10,10000,4,ignore,3498.780095,,,14,18.14878392
266,intercepts,100000,1,10,10000,4,lme4,11.39985026,2.885932692,3387.013218,0,0.937927008
267,intercepts,100000,1,10,10000,4,lmm,13.92180065,0.31857902,4.6291366,39,184.9168274
268,intercepts,100000,1,10,10000,4,menet,2377.890287,1047.906154,,25,283.5681975
269,intercepts,100000,1,10,10000,4,ohe,44.78513004,,,28,146.2852392
270,intercepts,100000,1,10,10000,5,lme4,10.55482023,2.93631901,3448.608231,0,1.057997942
