,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
112,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,lme4,4.598075733,2.913354901,2.891311818,4.845570263,0.40926672,0.996143886,-0.999999199,0,107.6149671
113,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,lme4,5.535744479,2.890025826,2.908040541,3.760453316,5.224428693,0.403943606,-0.402475078,0,37.97099876
114,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,lme4,4.718247904,2.90395679,3.048216227,5.109352472,3.076425637,0.178937357,0.782493583,0,43.7044642
115,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,lme4,5.832588947,2.935618681,2.960669047,4.74073375,1.326903358,0.291424809,NA,0,27.5742588
116,slopes,100000,1,3,3,3,10000,0.3,0.3,0,lme4,5.796013152,2.895430899,2.950721712,4.196139664,9.895880052,0.311189234,NA,0,19.48599696
117,slopes,100000,1,3,3,3,10000,0.3,0.3,1,lme4,5.864109317,2.920035653,2.965395701,5.398311411,5.360378233,0.263365373,0.612971359,0,28.50013685
118,slopes,100000,1,3,3,3,10000,0.3,0.3,2,lme4,5.287279015,2.921434742,3.052413584,4.296625231,6.097742899,0.218252409,0.566309711,0,25.37499905
119,slopes,100000,1,3,3,3,10000,0.3,0.3,3,lme4,4.023564655,2.872395341,2.939777619,3.485358505,13.29829329,0.39866944,0.33836355,0,34.61008978
120,slopes,100000,1,3,3,3,10000,0.3,0.3,4,lme4,4.505880346,2.849245853,3.097070294,4.498398554,6.629080845,0.205977377,0.451801464,0,33.96999216
121,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,lmm,1.275576063,1.147497,0.32336125,0.8083308,0.16588251,0.0654288,0.43482125,36,141.8781986
122,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,lmm,1.228609992,1.152259,0.3151096,0.44637567,0.74278784,0.13952781,0.19431691,36,132.9235225
123,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,lmm,1.224448589,1.1496228,0.2922052,0.43457657,0.06517146,0.2812535,-0.28768703,57,203.9586859
124,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,lmm,1.220832153,1.1135494,0.3001558,0.30461073,0.26783517,0.32391396,0.040726837,56,200.2244406
125,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,lmm,1.224833524,1.1191874,0.3097152,0.35056534,0.3881298,0.054475754,0.5029641,52,186.7122948
126,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,lmm,1.19330872,1.137687,0.31784526,0.5767071,2.3208628,0.12307561,0.3283504,37,136.7738278
127,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,lmm,1.210972971,1.1049188,0.3242933,0.8659501,2.5178056,-0.00490842,0.43289185,55,198.5850461
128,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,lmm,1.212056418,1.0905817,0.29993373,0.774463,1.9601486,0.041998543,0.28902784,70,250.4910405
129,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,lmm,1.20517576,1.1319371,0.3159328,0.82835406,1.698991,0.13133743,0.19193947,43,157.3484204
130,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,lmm,1.3046379,1.1177591,0.3144944,0.7395092,2.3262708,0.111642785,0.2729609,45,163.1969187
