,mode,N,sig2e,sig2b0,sig2b1,q0,spatial_embed_out_dim,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
,spatial_embedded,100000,1,0.1,10,1000,1000,0,ignore,1.274343876,,,,24,41.4899385
,spatial_embedded,100000,1,0.1,10,1000,1000,0,embed,1.256343564,,,,20,52.05317354
,spatial_embedded,100000,1,0.1,10,1000,1000,1,ohe,1.27913512,,,,15,30.75403094
,spatial_embedded,100000,1,0.1,10,1000,1000,1,lmm,1.116111783,1.107847214,0.111249566,,47,270.1153295
,spatial_embedded,100000,1,0.1,10,1000,1000,1,ignore,1.226500102,,,,25,43.2236073
,spatial_embedded,100000,1,0.1,10,1000,1000,1,embed,1.311981041,,,,33,83.00497794
,spatial_embedded,100000,1,1,0.1,1000,1000,0,ohe,1.395268328,,,,17,34.60466385
,spatial_embedded,100000,1,1,0.1,1000,1000,0,lmm,1.328629167,1.171035767,0.153903708,,67,379.7961833
,spatial_embedded,100000,1,1,0.1,1000,1000,0,ignore,2.203105801,,,,55,92.46170545
,spatial_embedded,100000,1,1,0.1,1000,1000,0,embed,1.324458667,,,,19,49.25860405
,spatial_embedded,100000,1,1,0.1,1000,1000,1,ohe,1.317770643,,,,22,44.63496423
,spatial_embedded,100000,1,1,0.1,1000,1000,1,lmm,1.242675912,1.01630187,0.150942937,,73,412.8451405
,spatial_embedded,100000,1,1,0.1,1000,1000,1,ignore,2.066801741,,,,48,80.25557637
,spatial_embedded,100000,1,1,0.1,1000,1000,1,embed,1.313627027,,,,25,64.4288013
,spatial_embedded,100000,1,1,1,1000,1000,0,ohe,1.359938179,,,,16,32.14343476
,spatial_embedded,100000,1,1,1,1000,1000,0,lmm,1.165562775,1.015407681,0.005466835,,48,274.1422658
,spatial_embedded,100000,1,1,1,1000,1000,0,ignore,1.734474368,,,,56,94.24929452
,spatial_embedded,100000,1,1,1,1000,1000,0,embed,1.407745845,,,,20,54.64465952
,spatial_embedded,100000,1,1,1,1000,1000,1,ohe,1.31153933,,,,18,37.09095407
,spatial_embedded,100000,1,1,1,1000,1000,1,lmm,1.13333299,0.993633866,0.016938396,,56,320.0224078
,spatial_embedded,100000,1,1,1,1000,1000,1,ignore,1.653667381,,,,71,116.5574446
,spatial_embedded,100000,1,1,1,1000,1000,1,embed,1.300971564,,,,24,65.4070189
,spatial_embedded,100000,1,1,10,1000,1000,0,ohe,1.31676386,,,,22,43.33666086
,spatial_embedded,100000,1,1,10,1000,1000,0,lmm,1.161614161,1.110158324,0.013565182,,46,263.4205921
,spatial_embedded,100000,1,1,10,1000,1000,0,ignore,1.358760959,,,,30,50.50588703
,spatial_embedded,100000,1,1,10,1000,1000,0,embed,1.309550431,,,,29,77.54190373
,spatial_embedded,100000,1,1,10,1000,1000,1,ohe,1.304826546,,,,14,28.87071061
,spatial_embedded,100000,1,1,10,1000,1000,1,lmm,1.12914737,1.136575103,0.032190844,,37,213.9151251
,spatial_embedded,100000,1,1,10,1000,1000,1,ignore,1.34853427,,,,28,46.96202254
,spatial_embedded,100000,1,1,10,1000,1000,1,embed,1.307606567,,,,18,46.60740733
,spatial_embedded,100000,1,0.1,0.1,10000,1000,0,ohe,1.521736051,,,,13,95.19374275
