,mode,N,sig2e,sig2b0,sig2b1,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
131,spatial_embedded,10000,1,1,0.1,100,1,embed,1.481902736,,,,93,29.79918885
132,spatial_embedded,10000,1,1,0.1,100,2,ohe,1.462587832,,,,78,18.26537871
133,spatial_embedded,10000,1,1,0.1,100,2,lmm,1.220262165,1.156042576,0.8100788,,82,53.03866243
134,spatial_embedded,10000,1,1,0.1,100,2,ignore,1.911511429,,,,76,16.51484394
135,spatial_embedded,10000,1,1,0.1,100,2,embed,1.426445106,,,,85,28.11166811
136,spatial_embedded,10000,1,1,0.1,100,3,ohe,1.607191188,,,,54,13.1467762
137,spatial_embedded,10000,1,1,0.1,100,3,lmm,1.335959086,1.202522635,0.726898789,,60,39.7110188
138,spatial_embedded,10000,1,1,0.1,100,3,ignore,2.098987177,,,,114,24.14626718
139,spatial_embedded,10000,1,1,0.1,100,3,embed,1.487795022,,,,68,22.12611175
140,spatial_embedded,10000,1,1,0.1,100,4,ohe,1.378636723,,,,54,12.99530101
141,spatial_embedded,10000,1,1,0.1,100,4,lmm,1.20648362,1.249253511,0.673537612,,58,38.66778994
142,spatial_embedded,10000,1,1,0.1,100,4,ignore,1.900553886,,,,103,21.00958228
143,spatial_embedded,10000,1,1,0.1,100,4,embed,1.272326573,,,,77,25.09280419
144,spatial_embedded,10000,1,1,1,100,0,ohe,1.568311713,,,,80,19.15454531
145,spatial_embedded,10000,1,1,1,100,0,lmm,1.273766222,1.170356989,0.584383428,,64,42.59707022
146,spatial_embedded,10000,1,1,1,100,0,ignore,1.682490909,,,,132,27.68081331
147,spatial_embedded,10000,1,1,1,100,0,embed,1.507971366,,,,86,28.44246078
148,spatial_embedded,10000,1,1,1,100,1,ohe,1.721709024,,,,47,12.61726332
149,spatial_embedded,10000,1,1,1,100,1,lmm,1.29853171,1.042532802,0.60069567,,81,53.09220099
150,spatial_embedded,10000,1,1,1,100,1,ignore,1.733001624,,,,92,21.11612797
151,spatial_embedded,10000,1,1,1,100,1,embed,1.499779558,,,,58,19.85491204
152,spatial_embedded,10000,1,1,1,100,2,ohe,1.477430539,,,,61,14.43998384
153,spatial_embedded,10000,1,1,1,100,2,lmm,1.218205865,1.185183287,0.670770347,,58,38.49623466
154,spatial_embedded,10000,1,1,1,100,2,ignore,1.67384808,,,,93,19.95148683
155,spatial_embedded,10000,1,1,1,100,2,embed,1.377527993,,,,93,30.61430025
156,spatial_embedded,10000,1,1,1,100,3,ohe,1.517698645,,,,70,16.37864447
157,spatial_embedded,10000,1,1,1,100,3,lmm,1.255181785,1.10586977,0.656912088,,66,44.10414457
158,spatial_embedded,10000,1,1,1,100,3,ignore,1.725054348,,,,167,34.57297921
159,spatial_embedded,10000,1,1,1,100,3,embed,1.443978137,,,,85,27.05131316
160,spatial_embedded,10000,1,1,1,100,4,ohe,1.470935722,,,,71,16.51528049
161,spatial_embedded,10000,1,1,1,100,4,lmm,1.258450864,1.075947404,0.571911812,,73,50.07053757
162,spatial_embedded,10000,1,1,1,100,4,ignore,1.709282685,,,,122,24.99304414
163,spatial_embedded,10000,1,1,1,100,4,embed,1.405417325,,,,90,28.14339805
164,spatial_embedded,10000,1,1,10,100,0,ohe,1.433293478,,,,68,16.71174121
165,spatial_embedded,10000,1,1,10,100,0,lmm,1.172496424,1.144255757,0.516394913,,71,48.09171224
166,spatial_embedded,10000,1,1,10,100,0,ignore,1.403946028,,,,70,15.9670577
167,spatial_embedded,10000,1,1,10,100,0,embed,1.360564927,,,,67,23.35013437
168,spatial_embedded,10000,1,1,10,100,1,ohe,1.52947559,,,,63,15.69887042
169,spatial_embedded,10000,1,1,10,100,1,lmm,1.289434689,1.198943853,0.63523984,,53,35.25442314
170,spatial_embedded,10000,1,1,10,100,1,ignore,1.432263969,,,,115,26.06114435
171,spatial_embedded,10000,1,1,10,100,1,embed,1.517520555,,,,70,23.74567413
172,spatial_embedded,10000,1,1,10,100,2,ohe,1.444710123,,,,79,17.51390195
173,spatial_embedded,10000,1,1,10,100,2,lmm,1.129288659,1.090408325,0.448094517,,74,47.3756249
174,spatial_embedded,10000,1,1,10,100,2,ignore,1.437390751,,,,75,16.16016722
175,spatial_embedded,10000,1,1,10,100,2,embed,1.288740529,,,,67,21.7251935
176,spatial_embedded,10000,1,1,10,100,3,ohe,1.421804571,,,,75,17.33236122
177,spatial_embedded,10000,1,1,10,100,3,lmm,1.221677834,1.07156837,0.489054441,,81,53.21858239
178,spatial_embedded,10000,1,1,10,100,3,ignore,1.443608288,,,,79,16.51242042
179,spatial_embedded,10000,1,1,10,100,3,embed,1.326723624,,,,74,24.38769054
180,spatial_embedded,10000,1,1,10,100,4,ohe,1.394789035,,,,73,17.80490398
181,spatial_embedded,10000,1,1,10,100,4,lmm,1.147022715,1.072503686,0.561627567,,63,42.23749757
182,spatial_embedded,10000,1,1,10,100,4,ignore,1.450555214,,,,83,18.52027154
183,spatial_embedded,10000,1,1,10,100,4,embed,1.361113466,,,,89,30.333673
