,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
202,intercepts,100000,1,10,100,3,lmm,1.111877217,1.126613,7.9490113,38,119.3696442
203,intercepts,100000,1,10,100,3,menet,1.73317552,1.683406049,,89,1457.863297
204,intercepts,100000,1,10,100,3,ohe,1.517121779,,,21,27.29313684
205,intercepts,100000,1,10,100,4,embed,1.674570966,,,30,49.73775101
206,intercepts,100000,1,10,100,4,ignore,11.54671199,,,36,43.76859713
207,intercepts,100000,1,10,100,4,lme4,2.905543816,2.849664479,11.76116804,,0.684033871
208,intercepts,100000,1,10,100,4,lmm,1.144892132,1.1297473,8.113662,30,95.81386256
209,intercepts,100000,1,10,100,4,menet,2.443279185,2.376065608,,52,875.92693
210,intercepts,100000,1,10,100,4,ohe,1.485843248,,,25,32.04594541
211,intercepts,100000,1,10,1000,0,embed,1.758503384,,,29,47.97420073
212,intercepts,100000,1,10,1000,0,ignore,10.62715474,,,28,34.79522729
213,intercepts,100000,1,10,1000,0,lme4,2.992454626,2.885154451,10.10699208,,0.727032185
214,intercepts,100000,1,10,1000,0,lmm,1.117349136,1.1276919,8.5875435,36,114.9967015
215,intercepts,100000,1,10,1000,0,menet,1.748288909,1.66776214,,287,3037.268506
216,intercepts,100000,1,10,1000,0,ohe,1.630754795,,,16,26.61218739
217,intercepts,100000,1,10,1000,1,embed,1.607254182,,,17,28.99418545
218,intercepts,100000,1,10,1000,1,ignore,10.85446811,,,31,37.63852978
219,intercepts,100000,1,10,1000,1,lme4,2.895043645,2.879370405,10.316342,,0.865000963
220,intercepts,100000,1,10,1000,1,lmm,1.071409652,1.1257342,7.8999033,30,146.9543834
221,intercepts,100000,1,10,1000,1,menet,1.9406751,1.876052956,,178,1888.083863
222,intercepts,100000,1,10,1000,1,ohe,1.526660019,,,16,26.47700596
223,intercepts,100000,1,10,1000,2,embed,1.766071144,,,27,45.0337162
224,intercepts,100000,1,10,1000,2,ignore,11.47748233,,,33,40.60998011
225,intercepts,100000,1,10,1000,2,lme4,2.956692327,2.878909864,10.55708245,,0.72756505
226,intercepts,100000,1,10,1000,2,lmm,1.092669551,1.1310889,8.527371,39,124.5648141
227,intercepts,100000,1,10,1000,2,menet,1.668782854,1.588886464,,325,3404.658979
228,intercepts,100000,1,10,1000,2,ohe,1.583102201,,,20,31.87224555
229,intercepts,100000,1,10,1000,3,embed,1.386385125,,,18,30.470577
230,intercepts,100000,1,10,1000,3,ignore,10.99823881,,,27,33.3619647
231,intercepts,100000,1,10,1000,3,lme4,2.842397223,2.918155787,10.06771576,,0.908041954
232,intercepts,100000,1,10,1000,3,lmm,1.072821314,1.1095771,10.277837,51,161.1605248
233,intercepts,100000,1,10,1000,3,menet,2.604721205,2.047714889,,56,588.6589015
234,intercepts,100000,1,10,1000,3,ohe,1.665009313,,,21,33.46977091
235,intercepts,100000,1,10,1000,4,embed,1.715617205,,,16,27.99547887
236,intercepts,100000,1,10,1000,4,ignore,11.2765022,,,36,43.96397209
237,intercepts,100000,1,10,1000,4,lme4,2.981433842,2.899240594,9.151971298,,0.686663151
238,intercepts,100000,1,10,1000,4,lmm,1.087433639,1.1131934,8.116441,31,100.4105442
239,intercepts,100000,1,10,1000,4,menet,2.07284015,1.807844408,,133,1431.387653
240,intercepts,100000,1,10,1000,4,ohe,1.578740816,,,15,24.96258974
241,intercepts,100000,1,10,10000,0,embed,2.242989779,,,19,32.46312189
242,intercepts,100000,1,10,10000,0,ignore,11.04324088,,,56,67.70477057
243,intercepts,100000,1,10,10000,0,lme4,3.271925884,2.912515039,10.15817648,,1.035586119
244,intercepts,100000,1,10,10000,0,lmm,1.283675487,1.1074675,10.423619,65,207.5928864
245,intercepts,100000,1,10,10000,0,menet,1.678277956,1.34419603,,300,3045.221475
246,intercepts,100000,1,10,10000,0,ohe,2.172429219,,,16,106.4368377
