,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
139,spatial,100000,1,1,0.1,100,1,ohe,1.183664497,,,,22,29.29934955
140,spatial,100000,1,1,0.1,100,1,ignore,1.572300711,,,,40,50.68909812
141,spatial,100000,1,1,0.1,100,1,embed,1.277056151,,,,25,42.97867942
142,spatial,100000,1,1,0.1,100,2,ohe,1.299130801,,,,24,31.66690159
143,spatial,100000,1,1,0.1,100,2,ignore,1.506855788,,,,51,64.73581338
144,spatial,100000,1,1,0.1,100,2,embed,1.262076084,,,,18,31.45014882
145,spatial,100000,1,1,0.1,100,3,ohe,1.302049413,,,,28,37.31599092
146,spatial,100000,1,1,0.1,100,3,ignore,1.533329359,,,,73,91.02056909
147,spatial,100000,1,1,0.1,100,3,embed,1.210144228,,,,34,57.85913849
148,spatial,100000,1,1,0.1,100,4,ohe,1.250666963,,,,24,31.83436489
149,spatial,100000,1,1,0.1,100,4,ignore,1.508508663,,,,113,139.7852411
150,spatial,100000,1,1,0.1,100,4,embed,1.318114928,,,,26,44.63388467
151,spatial,100000,1,1,0.1,1000,0,ohe,1.318546174,,,,16,28.94038343
152,spatial,100000,1,1,0.1,1000,0,ignore,2.088186822,,,,51,64.44235682
153,spatial,100000,1,1,0.1,1000,0,embed,1.356157864,,,,26,44.49675918
154,spatial,100000,1,1,0.1,1000,1,ohe,1.364280654,,,,17,30.22198868
155,spatial,100000,1,1,0.1,1000,1,ignore,2.139330613,,,,17,22.27195883
156,spatial,100000,1,1,0.1,1000,1,embed,1.351087957,,,,29,49.10596752
157,spatial,100000,1,1,0.1,1000,2,ohe,1.361731938,,,,21,36.22312379
158,spatial,100000,1,1,0.1,1000,2,ignore,2.204807257,,,,20,26.38958406
159,spatial,100000,1,1,0.1,1000,2,embed,1.346951351,,,,21,35.98149848
160,spatial,100000,1,1,0.1,1000,3,ohe,1.363124909,,,,21,36.35268092
161,spatial,100000,1,1,0.1,1000,3,ignore,2.217228795,,,,54,68.54467869
162,spatial,100000,1,1,0.1,1000,3,embed,1.300746633,,,,36,60.64810085
163,spatial,100000,1,1,0.1,1000,4,ohe,1.327704852,,,,18,31.88299203
164,spatial,100000,1,1,0.1,1000,4,ignore,2.068515316,,,,21,27.11997628
165,spatial,100000,1,1,0.1,1000,4,embed,1.331651136,,,,33,56.11393666
166,spatial,100000,1,1,0.1,10000,0,ohe,1.721249925,,,,15,89.80270982
167,spatial,100000,1,1,0.1,10000,0,ignore,2.398300718,,,,18,23.19016862
168,spatial,100000,1,1,0.1,10000,0,embed,1.721447765,,,,18,30.81788111
169,spatial,100000,1,1,0.1,10000,1,ohe,1.694059701,,,,14,88.27338243
170,spatial,100000,1,1,0.1,10000,1,ignore,2.216601137,,,,47,61.03594017
171,spatial,100000,1,1,0.1,10000,1,embed,1.757095047,,,,18,31.49492717
172,spatial,100000,1,1,0.1,10000,2,ohe,1.729678382,,,,14,87.71918392
