id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
158,100000,1,10,100,TRUE,0,lmm,1.139655324,1.055459619,1.606740355,500,5289.110726
159,100000,1,10,100,TRUE,1,lmm,1.154803286,1.047406077,1.947413325,500,5713.091898
160,100000,1,10,100,TRUE,2,lmm,1.107771475,1.071380734,1.105284452,500,4643.452915
161,100000,1,10,100,TRUE,0,lmm,1.09223349,1.050320983,3.50293541,500,4844.957963
162,100000,1,10,100,TRUE,1,lmm,1.092577503,1.063434601,2.87033987,500,4759.623954
163,100000,1,10,1000,TRUE,0,lmm,1.18796663,0.751655161,1.36006856,500,5296.204396
164,100000,1,10,1000,TRUE,1,lmm,1.279363347,0.726433456,1.408224344,500,4952.637512
165,100000,1,10,1000,TRUE,2,lmm,1.160497715,0.758334398,1.152150989,500,5313.09126
166,100000,1,10,1000,TRUE,0,lmm,1.199937587,0.764853239,1.159688234,500,5242.540661
167,100000,1,10,1000,TRUE,1,lmm,1.194892177,0.730290174,1.424177647,500,5365.687029
168,100000,1,10,10000,TRUE,0,lmm,13.82283455,0.248362851,2.183341768,250,71483.28212
169,100000,1,10,10000,TRUE,0,lmm,13.03491877,0.224842355,2.032872293,250,71226.04339
170,100000,1,10,10000,TRUE,0,lmm,13.16289708,0.205511734,2.043806076,250,71764.92042
171,100000,1,0.1,100,TRUE,0,menet,1.237579982,1.224582448,,53,804.1124201
172,100000,1,0.1,100,TRUE,1,menet,1.572574019,1.51883078,,38,505.3695214
173,100000,1,0.1,100,TRUE,2,menet,1.103328823,1.09579315,,57,695.8253467
174,100000,1,0.1,100,TRUE,3,menet,1.20259502,1.216570176,,90,1046.856428
175,100000,1,0.1,100,TRUE,4,menet,1.138281,1.116503338,,78,940.6235425
176,100000,1,0.1,1000,TRUE,0,menet,1.665877519,1.626373567,,196,1901.885292
177,100000,1,0.1,1000,TRUE,1,menet,1.477803518,1.42782592,,300,2906.888781
178,100000,1,0.1,1000,TRUE,2,menet,1.367416953,1.326565711,,300,2908.931973
179,100000,1,0.1,1000,TRUE,3,menet,1.383352957,1.31150009,,300,2745.501817
180,100000,1,0.1,1000,TRUE,4,menet,1.325807793,1.272954143,,300,2772.722243
181,100000,1,0.1,10000,TRUE,0,menet,14.01193873,9.336845148,,300,3227.365082
182,100000,1,0.1,10000,TRUE,1,menet,4.958042227,3.48936753,,300,3272.215782
183,100000,1,0.1,10000,TRUE,2,menet,3.427765924,2.644596704,,300,3317.956477
184,100000,1,0.1,10000,TRUE,3,menet,4.904258012,3.534851702,,300,3316.06282
185,100000,1,0.1,10000,TRUE,4,menet,9.450506595,6.833767472,,300,3327.638694
186,100000,1,1,100,TRUE,0,menet,1.210319651,1.214055017,,66,794.6206369
187,100000,1,1,100,TRUE,1,menet,1.594786405,1.496722419,,83,1034.087473
188,100000,1,1,100,TRUE,2,menet,1.706153891,1.805861846,,68,848.9325476
189,100000,1,1,100,TRUE,3,menet,1.318182926,1.282913971,,104,1220.147413
190,100000,1,1,100,TRUE,4,menet,1.177878713,1.145396386,,57,686.7589929
191,100000,1,1,1000,TRUE,0,menet,6.429948517,6.371236236,,157,1538.242862
192,100000,1,1,1000,TRUE,1,menet,3.025560902,2.930220479,,163,1576.454337
193,100000,1,1,1000,TRUE,2,menet,14.3382314,12.96445756,,153,1478.752463
194,100000,1,1,1000,TRUE,3,menet,5.863743334,5.30910663,,154,1499.331485
195,100000,1,1,1000,TRUE,4,menet,5.348373106,5.038622577,,112,1088.136822
196,100000,1,1,10000,TRUE,0,menet,201.25103,58.99849209,,118,1315.248312
197,100000,1,1,10000,TRUE,1,menet,191.022729,114.1681627,,15,170.9737704
198,100000,1,1,10000,TRUE,2,menet,23.48374081,11.20227047,,300,3322.84068
199,100000,1,1,10000,TRUE,3,menet,128.0974971,48.7479149,,279,3115.754222
200,100000,1,1,10000,TRUE,4,menet,172.8467667,76.48908443,,19,217.6974916
201,100000,1,10,100,TRUE,0,menet,19.83486039,19.44853959,,28,323.2175648
202,100000,1,10,100,TRUE,1,menet,13.25597146,12.58795168,,42,522.8022728
