,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
25,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ohe,14.08986962,,,,,13,53.88667393
26,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,ignore,336.1965443,,,,,34,42.51204967
27,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,3,embed,15.5899318,,,,,14,32.52836871
28,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ohe,6.4064555,,,,,17,63.29221535
29,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,ignore,308.359352,,,,,19,24.5380528
30,intercepts,100000,1,0.3,0.3,3,1000,2000,3000,4,embed,16.60220456,,,,,12,28.61754632
31,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ohe,9.501421147,,,,,16,61.80828834
32,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,ignore,249.2538871,,,,,36,44.74393058
33,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,0,embed,16.37753525,,,,,12,27.88641214
34,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ohe,10.41159581,,,,,12,52.2383709
35,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ignore,258.3278997,,,,,38,47.65857458
36,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,embed,13.84198824,,,,,13,29.93411303
37,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ohe,10.86796943,,,,,15,58.89908266
38,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ignore,250.8301369,,,,,32,39.49330831
39,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,embed,12.60644099,,,,,12,27.88264275
40,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ohe,11.20297724,,,,,13,54.07046723
41,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ignore,222.7339885,,,,,31,38.88681293
42,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,embed,6.475564134,,,,,30,66.96657562
43,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,ohe,13.75968207,,,,,13,54.4934299
