,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
118,slopes,100000,1,3,3,3,10000,0.3,0.3,4,ohe,2.332841254,,,,,,,13,86.78291917
119,slopes,100000,1,3,3,3,10000,0.3,0.3,4,ignore,5.759464377,,,,,,,38,51.10729384
120,slopes,100000,1,3,3,3,10000,0.3,0.3,4,embed,2.103363273,,,,,,,17,31.48190618
121,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,lmm,1.270784719,1.1241643,0.31072536,0.8371122,1.4380277,0.036777858,0.50432664,40,150.513128
122,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,lmm,1.265136464,1.1248535,0.2964884,0.82723033,0.6214116,0.17517462,-0.00303519,59,214.5265226
123,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,lmm,1.297599377,1.1174797,0.3046045,0.70307857,0.9334794,0.06779624,0.20741838,32,119.2655985
124,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,lmm,1.301560062,1.1181371,0.3153786,0.64604074,1.0562589,0.05114876,0.18559399,50,182.3719106
125,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,lmm,1.232062264,1.1140174,0.30129543,0.458595,0.8790942,0.24108976,0.13388515,61,219.6396413
126,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,lmm,1.420278958,1.1265451,0.3220173,0.72233635,1.6005822,0.021855954,0.51623344,40,145.7012112
127,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,lmm,1.316871242,1.1158507,0.30764097,0.60751677,0.9521888,0.12144639,0.30366018,60,216.9304972
128,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,lmm,1.332459755,1.1360251,0.31372842,0.4583992,1.295022,0.08069373,0.4586499,45,166.110867
129,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,lmm,1.357142092,1.0990105,0.28443795,0.7854933,1.0467844,0.17396164,0.27762815,43,160.0357714
130,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,lmm,1.365009057,1.1312044,0.30303276,0.8845067,1.0312182,0.23338507,0.24477887,68,248.1800804
131,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,lmm,1.515489423,1.1210874,0.2974681,2.5088782,2.303886,0.26632106,0.5401405,40,149.0632887
132,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,lmm,1.385689706,1.1152505,0.30139735,2.9670005,2.1719987,0.29085806,-0.19314213,63,228.261667
133,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,lmm,1.393073952,1.1414075,0.31540185,1.8637378,2.0245016,0.40506202,0.63206834,27,100.5211825
134,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,lmm,1.392649193,1.1368262,0.30781537,2.8584757,2.5397656,0.2390603,0.06295926,43,157.9863734
135,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,lmm,1.478748203,1.1166897,0.33443826,2.885192,2.4172611,0.17571633,0.3855612,57,208.7898824
136,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,lmm,1.497846524,1.1237172,0.31381807,2.3788803,2.0446525,0.2931106,0.49749646,28,105.6918855
137,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,lmm,1.46191658,1.1288273,0.30867064,2.8405142,2.7461565,0.21766037,0.8680256,45,166.4325967
138,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,lmm,1.516759921,1.137257,0.28177413,2.363094,2.1874,0.4366242,0.48063612,34,127.8631387
139,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,lmm,1.424463092,1.1228476,0.30269954,2.6852708,2.3888888,0.31689027,0.50321627,50,182.1000073
140,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,lmm,1.469819064,1.1002959,0.30305886,2.9585006,2.0278766,0.2964065,0.3205623,69,248.220278
141,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,lmm,1.333538254,1.1517426,3.0409186,0.41745132,0.80558395,0.15696965,0.46483102,36,133.3075571
142,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,lmm,1.218614849,1.120429,3.0135367,0.20212103,0.46095428,0.61145157,-0.24889879,97,351.929585
143,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,lmm,1.295871312,1.1180085,3.0618849,0.91459644,1.0190367,0.14827405,-0.1338861,43,159.8367627
144,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,lmm,1.305181298,1.1140069,3.0192833,0.24615464,0.7344719,0.21412717,0.54047984,58,209.8545866
145,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,lmm,1.285330368,1.1188102,2.9658725,0.89102614,0.6320915,0.23044224,-0.048810624,43,159.5152514
