,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
71,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,embed,8.521484295,,,,,29,73.19008827
72,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,lmm,2.13983455,0.184852093,0.611652911,2.594581604,1.75423038,27,106.6064541
73,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,ohe,12.56486568,,,,,12,51.67669201
74,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,ignore,275.7363583,,,,,48,67.59893513
75,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,embed,15.82193364,,,,,12,31.90170431
76,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,lmm,2.216082968,0.192247286,0.678889155,2.32825613,1.802498698,27,108.5572364
77,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,ohe,11.25557653,,,,,13,55.21911097
78,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,ignore,264.4955566,,,,,32,45.88894272
79,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,embed,12.2255739,,,,,12,31.5321784
80,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,lmm,2.089211899,0.192891285,0.606376231,2.208800554,1.670093775,28,111.6800034
81,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,ohe,6.689858487,,,,,12,52.30092382
82,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,ignore,86.05860311,,,,,30,42.65675879
83,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,embed,3.922268859,,,,,49,122.8816135
84,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,lmm,1.868561277,0.149506509,3.934521914,0.723805726,0.703153014,17,73.60968208
85,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,ohe,5.315915477,,,,,12,51.81433296
86,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,ignore,85.80450648,,,,,26,38.09656191
87,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,embed,5.329259036,,,,,14,36.70616293
88,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,lmm,1.826928896,0.167171538,4.065611839,0.742544293,0.70543468,17,73.90753961
89,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,ohe,6.856975972,,,,,14,57.27209139
90,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,ignore,98.11552074,,,,,32,83.30231237
91,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,embed,5.980034182,,,,,12,31.70657182
92,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,lmm,1.924320609,0.144312412,4.209093571,0.839375854,0.679572284,17,75.17136359
93,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,ohe,5.802721206,,,,,14,56.77129745
94,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,ignore,78.73932863,,,,,32,45.15525818
95,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,embed,3.916054468,,,,,43,107.5154543
96,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,lmm,1.791504292,0.161832154,3.732980728,0.736158133,0.720522463,17,73.97276688
