,mode,N,sig2e,sig2b0,sig2b1,q0,deep,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
132,spatial,100000,1.0,10.0,0.1,100,True,2,embed,1.541013365001289,,,,37,95.7985417842865
133,spatial,100000,1.0,10.0,0.1,100,True,3,ohe,1.7149585831478427,,,,16,29.939120292663574
134,spatial,100000,1.0,10.0,0.1,100,True,3,lmm,1.1293833713715318,1.103426218032837,8.863731384277344,2.334289073944092,36,221.95792961120605
135,spatial,100000,1.0,10.0,0.1,100,True,3,ignore,2.839440977946057,,,,88,147.69618678092957
136,spatial,100000,1.0,10.0,0.1,100,True,3,embed,1.7126068442043054,,,,39,98.71664500236511
137,spatial,100000,1.0,10.0,0.1,100,True,4,ohe,1.5607065894966934,,,,61,104.0073926448822
138,spatial,100000,1.0,10.0,0.1,100,True,4,lmm,1.1016749992022836,1.0912281274795532,8.868964195251465,0.6007670760154724,45,259.5191650390625
139,spatial,100000,1.0,10.0,0.1,100,True,4,ignore,3.0470322988037637,,,,78,130.62283754348755
140,spatial,100000,1.0,10.0,0.1,100,True,4,embed,1.6691078706164477,,,,32,85.352374792099
141,spatial,100000,1.0,10.0,1.0,100,True,0,ohe,1.5702191495526667,,,,42,73.82715106010437
142,spatial,100000,1.0,10.0,1.0,100,True,0,lmm,1.1198562877101215,1.11817467212677,7.856774806976318,1.4373574256896973,55,319.8745412826538
143,spatial,100000,1.0,10.0,1.0,100,True,0,ignore,2.599667475822239,,,,37,62.12276840209961
144,spatial,100000,1.0,10.0,1.0,100,True,0,embed,1.6405058083317017,,,,39,98.8234691619873
145,spatial,100000,1.0,10.0,1.0,100,True,1,ohe,1.8628668320718373,,,,47,79.44514870643616
146,spatial,100000,1.0,10.0,1.0,100,True,1,lmm,1.1010714804060386,1.0990480184555054,8.927131652832031,1.9606552124023438,45,259.5935673713684
147,spatial,100000,1.0,10.0,1.0,100,True,1,ignore,2.282891016666031,,,,38,63.17753314971924
148,spatial,100000,1.0,10.0,1.0,100,True,1,embed,1.5108550296968566,,,,47,117.47881603240967
149,spatial,100000,1.0,10.0,1.0,100,True,2,ohe,1.7715538365823595,,,,46,80.34147453308105
150,spatial,100000,1.0,10.0,1.0,100,True,2,lmm,1.1004434698192365,1.1057389974594116,9.6138277053833,0.07226081937551498,49,278.36776423454285
151,spatial,100000,1.0,10.0,1.0,100,True,2,ignore,2.1201154199769814,,,,73,119.46042442321777
152,spatial,100000,1.0,10.0,1.0,100,True,2,embed,1.5941505343838624,,,,36,90.8158438205719
153,spatial,100000,1.0,10.0,1.0,100,True,3,ohe,1.5988658421160864,,,,21,37.85692286491394
154,spatial,100000,1.0,10.0,1.0,100,True,3,lmm,1.0957755121064665,1.1172707080841064,8.217047691345215,0.9581919312477112,45,259.5137791633606
155,spatial,100000,1.0,10.0,1.0,100,True,3,ignore,1.8192123304968089,,,,76,129.0229959487915
156,spatial,100000,1.0,10.0,1.0,100,True,3,embed,1.6584151438309476,,,,20,51.66218400001526
157,spatial,100000,1.0,10.0,1.0,100,True,4,ohe,1.530496978057921,,,,25,43.98474192619324
158,spatial,100000,1.0,10.0,1.0,100,True,4,lmm,1.0921441873926423,1.1142915487289429,8.28851318359375,0.45362067222595215,59,337.7019610404968
159,spatial,100000,1.0,10.0,1.0,100,True,4,ignore,1.973350859990245,,,,41,68.75685811042786
160,spatial,100000,1.0,10.0,1.0,100,True,4,embed,1.7013388048919813,,,,51,132.83316326141357
161,spatial,100000,1.0,10.0,10.0,100,True,0,ohe,1.5317792262639647,,,,26,46.27637243270874
162,spatial,100000,1.0,10.0,10.0,100,True,0,lmm,1.0770375739235534,1.109821081161499,9.811699867248535,1.3966370820999146,66,366.4448826313019
163,spatial,100000,1.0,10.0,10.0,100,True,0,ignore,1.8333010965013148,,,,28,50.82589507102966
164,spatial,100000,1.0,10.0,10.0,100,True,0,embed,2.002659224090614,,,,32,81.97458076477051
165,spatial,100000,1.0,10.0,10.0,100,True,1,ohe,1.5776849755968378,,,,34,58.825064182281494
166,spatial,100000,1.0,10.0,10.0,100,True,1,lmm,1.0840421386676757,1.110574722290039,10.591819763183594,4.49886417388916,47,281.327276468277
167,spatial,100000,1.0,10.0,10.0,100,True,1,ignore,1.6503547049196896,,,,44,75.12083721160889
168,spatial,100000,1.0,10.0,10.0,100,True,1,embed,2.054975135690617,,,,23,59.31411910057068
169,spatial,100000,1.0,10.0,10.0,100,True,2,ohe,1.5753092477439237,,,,29,51.02862906455994
170,spatial,100000,1.0,10.0,10.0,100,True,2,lmm,1.1439713093618575,1.1410160064697266,7.892791271209717,2.4026880264282227,31,199.93611884117126
171,spatial,100000,1.0,10.0,10.0,100,True,2,ignore,1.7085881649089647,,,,28,49.052467823028564
172,spatial,100000,1.0,10.0,10.0,100,True,2,embed,1.7157953380067352,,,,22,56.218225955963135
173,spatial,100000,1.0,10.0,10.0,100,True,3,ohe,1.4688405424070168,,,,23,40.32658815383911
174,spatial,100000,1.0,10.0,10.0,100,True,3,lmm,1.1327446429763257,1.097748041152954,8.135049819946289,6.078772068023682,83,468.272492647171
175,spatial,100000,1.0,10.0,10.0,100,True,3,ignore,1.5898858395629192,,,,26,44.19632387161255
176,spatial,100000,1.0,10.0,10.0,100,True,3,embed,1.7540427481135907,,,,28,72.66143369674683
177,spatial,100000,1.0,10.0,10.0,100,True,4,ohe,1.5334245805290414,,,,26,46.27393388748169
178,spatial,100000,1.0,10.0,10.0,100,True,4,lmm,1.0942188292071262,1.1341345310211182,6.8491530418396,3.4536080360412598,41,241.11801719665527
179,spatial,100000,1.0,10.0,10.0,100,True,4,ignore,1.6591453644409089,,,,53,89.29556202888489
180,spatial,100000,1.0,10.0,10.0,100,True,4,embed,1.6120856986460352,,,,26,66.1542501449585
181,spatial,100000,1.0,0.1,0.1,1000,True,0,ohe,1.3431469195921741,,,,23,47.66203236579895
182,spatial,100000,1.0,0.1,0.1,1000,True,0,lmm,1.2842359172524578,1.1586745977401733,0.08043480664491653,0.9648891687393188,22,148.03533220291138
