,mode,N,sig2e,sig2b0,q0,deep,experiment,exp_type,auc,sig2e_est,sig2b_est0,n_epochs,time
20,glmm,100000,1.0,0.1,100,True,4,embed,0.7899923759653564,,,20,179.5750594139099
21,glmm,100000,1.0,1.0,100,True,0,ohe,0.8201958262686203,,,29,183.30902314186096
22,glmm,100000,1.0,1.0,100,True,0,lmm,0.8156992386571933,,0.8670139312744141,21,511.9200963973999
23,glmm,100000,1.0,1.0,100,True,0,ignore,0.7697365490657011,,,28,175.11596608161926
24,glmm,100000,1.0,1.0,100,True,0,embed,0.8245783503463322,,,23,204.77220606803894
25,glmm,100000,1.0,1.0,100,True,1,ohe,0.8331171271424648,,,21,135.1586925983429
26,glmm,100000,1.0,1.0,100,True,1,lmm,0.828986972324826,,0.7348482608795166,40,1012.3683388233185
27,glmm,100000,1.0,1.0,100,True,1,ignore,0.7699335282553555,,,18,114.19239783287048
28,glmm,100000,1.0,1.0,100,True,1,embed,0.8369377881643356,,,19,169.47661566734314
29,glmm,100000,1.0,1.0,100,True,2,ohe,0.8191266751141244,,,18,117.17139458656311
30,glmm,100000,1.0,1.0,100,True,2,lmm,0.8120658894072521,,0.8130106329917908,32,781.1750891208649
31,glmm,100000,1.0,1.0,100,True,2,ignore,0.7686380416443774,,,34,212.027606010437
32,glmm,100000,1.0,1.0,100,True,2,embed,0.8249683652608826,,,26,228.91574501991272
33,glmm,100000,1.0,1.0,100,True,3,ohe,0.815635861051775,,,22,137.19035053253174
34,glmm,100000,1.0,1.0,100,True,3,lmm,0.8124228257552639,,0.670137882232666,34,874.8983595371246
35,glmm,100000,1.0,1.0,100,True,3,ignore,0.7624956057369546,,,35,217.93397164344788
36,glmm,100000,1.0,1.0,100,True,3,embed,0.8210599684670938,,,32,290.4609169960022
37,glmm,100000,1.0,1.0,100,True,4,ohe,0.8233883290674093,,,22,143.49074459075928
38,glmm,100000,1.0,1.0,100,True,4,lmm,0.8191697462464335,,0.7671286463737488,23,561.312858581543
39,glmm,100000,1.0,1.0,100,True,4,ignore,0.7724695154487929,,,17,107.08925223350525
40,glmm,100000,1.0,1.0,100,True,4,embed,0.8272442699289629,,,29,257.6975290775299
41,glmm,100000,1.0,10.0,100,True,0,ohe,0.9288815050146132,,,22,139.53586626052856
42,glmm,100000,1.0,10.0,100,True,0,lmm,0.9187452616137256,,3.691040277481079,28,663.496922492981
43,glmm,100000,1.0,10.0,100,True,0,ignore,0.6694267967982332,,,38,237.1331238746643
44,glmm,100000,1.0,10.0,100,True,0,embed,0.9307091634525042,,,28,252.93382620811462
