,mode,N,sig2e,sig2b0,sig2b1,sig2b0_spatial,sig2b1_spatial,q0,q1,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
23,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,2,ignore,2.835025079,,,,,,85,106.0131087
24,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,2,embed,1.933066983,,,,,,19,44.14128327
25,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,3,ohe,2.186735306,,,,,,19,176.0760925
26,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,3,ignore,2.919627398,,,,,,57,72.4188416
27,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,3,embed,2.000379707,,,,,,22,50.76901054
28,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,4,ohe,2.285508992,,,,,,19,167.8408937
29,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,4,ignore,3.190713031,,,,,,58,72.64645243
30,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,4,embed,2.003634773,,,,,,25,56.7550807
31,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,0,ohe,2.043508552,,,,,,18,162.2776482
32,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,0,ignore,4.953772721,,,,,,43,53.32749057
33,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,0,embed,2.067379172,,,,,,25,55.93564892
34,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,1,ohe,2.152297964,,,,,,18,162.2683895
35,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,1,ignore,4.691982321,,,,,,40,49.60787964
36,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,1,embed,1.970633967,,,,,,22,49.54867172
37,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,2,ohe,2.06715748,,,,,,16,139.3758805
38,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,2,ignore,4.841753401,,,,,,35,43.6110549
39,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,2,embed,2.033729062,,,,,,28,62.87595797
