host_id,n
36518,6
36858,6
36942,6
37209,6
37752,6
38073,6
38342,6
38923,6
97,5
389,5
532,5
1000,5
1022,5
1086,5
1981,5
2195,5
2641,5
3936,5
4662,5
8033,5
8204,5
8300,5
9217,5
10679,5
12101,5
12385,5
13797,5
13961,5
14277,5
14754,5
15359,5
16022,5
16038,5
16046,5
16917,5
17132,5
17169,5
17569,5
18245,5
19076,5
19301,5
20504,5
20513,5
21398,5
21614,5
22071,5
22134,5
23360,5
23562,5
23834,5
24564,5
24701,5
25031,5
26540,5
26726,5
26900,5
27112,5
27170,5
27215,5
27735,5
27758,5
28095,5
28382,5
28677,5
28761,5
30665,5
31550,5
32631,5
32694,5
32761,5
32879,5
33295,5
33579,5
34191,5
34403,5
34918,5
35363,5
35373,5
35811,5
36090,5
36385,5
36866,5
36905,5
37125,5
37249,5
37302,5
37878,5
38112,5
38215,5
38324,5
38559,5
38748,5
38774,5
217,4
443,4
560,4
847,4
854,4
1053,4
1533,4
1683,4
1711,4
1756,4
1871,4
1887,4
1988,4
2543,4
2694,4
2744,4
2970,4
2994,4
3066,4
3140,4
3158,4
3498,4
3707,4
3819,4
4160,4
4208,4
4269,4
4665,4
4765,4
5065,4
5263,4
5394,4
5711,4
5794,4
5995,4
6081,4
6139,4
6195,4
6347,4
6414,4
6583,4
6680,4
6719,4
6728,4
7053,4
7215,4
7375,4
7479,4
7715,4
7870,4
8673,4
8816,4
8858,4
9133,4
9159,4
9199,4
10165,4
10384,4
10934,4
11479,4
11523,4
11807,4
11993,4
12369,4
12382,4
12631,4
12690,4
12756,4
13035,4
13414,4
13657,4
14053,4
14090,4
14213,4
14544,4
14652,4
14699,4
14740,4
14889,4
15148,4
15200,4
15506,4
15762,4
15836,4
16188,4
16561,4
16690,4
16923,4
17257,4
17271,4
17309,4
17450,4
17509,4
17931,4
18703,4
18772,4
18947,4
19127,4
19307,4
19381,4
19439,4
19461,4
19783,4
20474,4
20567,4
20759,4
20963,4
20964,4
21065,4
21066,4
21740,4
21798,4
21864,4
22000,4
22068,4
22102,4
22160,4
22204,4
22306,4
22359,4
22769,4
22906,4
22976,4
23056,4
23135,4
23257,4
23322,4
23375,4
23498,4
23622,4
23685,4
23873,4
24118,4
24204,4
24298,4
24322,4
24396,4
24503,4
24937,4
24942,4
25010,4
25038,4
25083,4
25124,4
25199,4
25206,4
25440,4
