epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
52,1,49.93560028,1.1659156,1.8861997,2.9010158,3.3379998,4.7167053,0.14875698,0.10440445,-0.04806328,-0.13490206,-0.03163719,0.2952298,0.33137226,50.50608444
53,1,49.91378021,1.1460565,1.8672601,2.860812,3.2799451,4.6800065,0.027950287,-0.22433281,-0.3072405,-0.002774,-0.12433624,0.31635684,-0.85395527,50.47854996
54,1,49.8338089,1.1180129,1.838724,2.8012624,3.2293048,4.6153545,-0.002384186,0.07417107,-0.075081825,0.06362882,0.16657066,0.28204757,1.5835421,50.33044052
55,1,49.8159256,1.1273286,1.7818854,2.7855613,3.187828,4.560066,-0.385993,-0.35026646,-0.28977394,-0.30585355,-0.12997246,0.29468313,-3.0068583,50.4547348
56,1,49.83631516,1.0987093,1.7913023,2.7395856,3.163511,4.5123024,-0.7811146,-0.16220856,0.11874056,-0.2361415,0.030160904,0.29501662,-0.95640457,50.2640419
57,1,49.80907822,1.0936784,1.7561129,2.6741624,3.1214547,4.4597654,-0.61141205,-0.047542572,-0.15521717,-0.26636934,-0.19092369,0.29487547,-1.6170781,50.55237198
58,1,49.73247528,1.0383108,1.7315425,2.6500592,3.0645077,4.420083,-0.20134354,0.07023811,-0.090257645,-0.004864156,-0.20090294,0.30528465,-1.3665434,50.53359985
59,1,49.76839828,1.0247532,1.7231427,2.6187148,3.0391061,4.3419065,-0.4464388,-0.03614521,-0.28289652,-0.2069484,-0.22863579,0.3184894,-2.4775672,50.53020477
60,1,49.72747421,1.0357012,1.6757301,2.5925124,3.0087538,4.308417,0.006234169,-0.062278748,0.058002472,-0.06903738,0.18543816,0.2812014,1.2113671,50.16854858
61,1,49.67759705,1.0338593,1.6920646,2.5930536,3.0103567,4.288996,0.040406227,-0.11528063,-0.09549618,-0.45381248,0.08645725,0.32939836,-0.3304006,50.17192459
62,1,49.68439484,1.026388,1.6308547,2.5721426,2.9623635,4.2398767,0.14046717,0.029829979,0.08702469,-0.29165304,0.040197372,0.30339128,0.40180302,50.14250183
