location,n
1773,3
1349,3
2510,3
1735,3
863,3
1655,3
2778,3
2368,3
912,3
1996,3
273,3
2723,3
2109,3
2267,3
2142,3
1621,3
455,3
2485,3
1511,3
2594,3
1799,3
1196,3
1047,3
48,3
392,3
2532,3
2206,3
1834,3
1736,3
997,3
142,3
2380,3
285,3
2673,3
1924,3
992,3
1794,3
819,3
2633,3
1145,3
2818,3
1456,3
862,3
1498,3
1411,3
646,3
2187,3
1631,3
2825,3
346,3
1261,3
2641,3
648,3
1724,3
2619,3
1807,3
2156,3
592,3
1517,3
279,3
2871,3
459,3
2708,3
2399,3
2621,3
2603,3
494,3
2141,3
2400,3
1901,3
977,3
1664,3
778,3
596,3
904,3
743,3
307,3
1566,3
2722,3
643,3
979,3
1778,3
2361,3
1922,3
1824,3
595,3
289,3
1079,3
341,3
2577,3
1916,3
282,3
726,3
351,3
240,3
395,3
1140,3
1149,3
2471,3
2846,3
2774,3
1683,3
2224,3
561,3
332,3
2188,3
2525,3
864,3
426,3
1144,3
1556,3
988,3
2729,3
2573,3
461,3
2500,3
2689,3
329,3
568,3
2588,3
1263,3
1093,3
2790,3
2821,3
2793,3
932,3
1362,3
1253,3
2592,3
204,3
1619,3
1553,3
1312,3
2761,3
2235,3
218,3
1204,3
2696,3
898,3
179,3
1091,3
1256,3
564,3
399,3
1514,3
644,3
2831,3
35,3
1316,3
1247,3
1250,3
402,3
1041,3
284,3
137,3
1966,3
2834,3
2644,3
2731,3
1678,3
1960,3
1464,3
1963,3
2478,3
2842,3
2789,3
666,3
2018,3
2836,3
539,3
1314,3
2520,3
2241,3
496,3
386,3
593,3
2680,3
1629,3
729,3
2863,3
764,3
2469,3
2575,3
2691,3
2122,3
606,3
123,3
1612,3
1574,3
559,3
1604,3
432,3
2200,3
286,3
1676,3
2272,3
2822,3
1030,3
2143,3
2545,3
2714,3
2490,3
1311,3
2850,3
177,3
2612,3
737,3
1550,3
694,3
1920,3
2649,3
375,3
156,2
168,2
660,2
469,2
2497,2
2100,2
1681,2
2309,2
780,2
1816,2
167,2
349,2
982,2
1159,2
385,2
254,2
107,2
2694,2
365,2
194,2
1156,2
2762,2
1381,2
1142,2
197,2
2415,2
801,2
2549,2
394,2
466,2
1402,2
2506,2
1095,2
336,2
2769,2
1023,2
2110,2
203,2
251,2
24,2
234,2
2552,2
516,2
845,2
1821,2
548,2
519,2
2474,2
1608,2
258,2
841,2
1657,2
621,2
1565,2
1301,2
2505,2
1408,2
1959,2
552,2
2017,2
1143,2
900,2
508,2
2699,2
261,2
1315,2
2023,2
1715,2
2617,2
1201,2
1868,2
842,2
527,2
260,2
2473,2
415,2
2578,2
2596,2
230,2
812,2
129,2
191,2
1092,2
1827,2
692,2
848,2
2870,2
2656,2
1559,2
2738,2
1755,2
1139,2
620,2
609,2
1306,2
1613,2
1267,2
2602,2
328,2
445,2
663,2
1085,2
2750,2
2498,2
491,2
2556,2
2781,2
0,2
492,2
850,2
736,2
1607,2
767,2
940,2
2752,2
2807,2
2848,2
1665,2
2581,2
2546,2
189,2
2359,2
2698,2
2829,2
1195,2
2756,2
2838,2
1302,2
2211,2
448,2
14,2
414,2
2661,2
41,2
433,2
271,2
1147,2
300,2
229,2
88,2
1624,2
656,2
612,2
2204,2
2544,2
614,2
296,2
483,2
2855,2
544,2
2749,2
2065,2
1088,2
1682,2
2857,2
734,2
1254,2
2229,2
354,2
949,2
100,2
1625,2
1044,2
2480,2
2226,2
1516,2
2300,2
500,2
2776,2
1521,2
2502,2
1672,2
2574,2
127,2
1872,2
2501,2
818,2
411,2
1407,2
1923,2
382,2
888,2
2095,2
2037,2
2799,2
2449,2
2852,2
1206,2
2394,2
733,2
1032,2
2844,2
199,2
1099,2
2662,2
120,2
1774,2
808,2
944,2
2711,2
181,2
1048,2
1994,2
892,2
513,2
774,2
2293,2
2288,2
1596,2
280,2
468,2
1977,2
700,2
514,2
777,2
277,2
440,2
112,2
1808,2
2817,2
843,2
2780,2
11,2
2154,2
1614,2
162,2
2263,2
846,2
1397,2
270,2
1769,2
467,2
1400,2
899,2
1043,2
2624,2
2203,2
1304,2
995,2
2735,2
1096,2
2743,2
1628,2
1197,2
2070,2
453,2
33,2
978,2
265,2
583,2
322,2
926,2
215,2
2397,2
1366,2
1396,2
15,2
335,2
2468,2
427,2
1194,2
2800,2
2721,2
2528,2
1940,2
97,2
2748,2
1567,2
2739,2
1470,2
2716,2
2527,2
2862,2
1449,2
2503,2
1760,2
381,2
935,2
545,2
2228,2
1454,2
2765,2
930,2
566,2
924,2
1046,2
1348,2
2737,2
1151,2
2166,2
2005,2
2342,2
1917,2
378,2
1299,2
330,2
1028,2
739,2
2679,2
1094,2
1710,2
1039,2
2576,2
2064,2
2830,2
454,2
1573,2
2808,2
1257,2
1967,2
463,2
320,2
1054,2
1739,2
1758,2
421,2
2873,2
1300,2
1772,2
2201,2
2757,2
1262,2
1109,2
87,2
1458,2
2555,2
161,2
1165,2
618,2
2085,2
2412,2
1445,2
231,2
503,2
989,2
2725,2
361,2
933,2
2700,2
119,2
740,2
109,2
1775,2
2775,2
1087,2
563,2
902,2
2115,2
2094,2
1090,2
2483,2
1038,2
1466,2
2730,2
2614,2
225,2
186,2
276,2
2758,2
2804,2
1448,2
391,2
264,2
26,2
2878,2
1930,2
517,2
278,2
1259,2
1684,2
723,2
1878,2
193,2
2812,2
1520,2
2198,2
844,2
2117,2
479,2
233,2
2683,2
1819,2
2410,2
560,2
2547,2
227,2
188,2
1946,2
1150,2
217,2
1822,2
1725,2
1055,2
2608,2
62,2
2668,2
118,2
353,2
