album,n
15951,2
8637,2
13715,2
10310,2
15983,2
7741,2
2244,2
2243,2
3956,2
8712,2
2237,2
10383,2
13843,2
16016,2
10391,2
14982,2
3934,2
8945,2
16024,2
17877,2
17876,2
18947,2
3954,2
10403,2
13768,2
8947,2
3866,2
8559,2
8563,2
7698,2
9018,2
14934,2
2263,2
7697,2
18768,2
2261,2
18823,2
15153,2
2259,2
8552,2
17817,2
8555,2
9023,2
3931,2
4419,2
8557,2
15261,2
10372,2
13853,2
16029,2
2210,2
4199,2
17829,2
10430,2
19271,2
8962,2
4174,2
7714,2
15239,2
8959,2
5439,2
2172,2
19286,2
8948,2
19285,2
19284,2
17836,2
8721,2
3944,2
8717,2
2162,2
8610,2
8958,2
18817,2
17857,2
17860,2
9032,2
17820,2
13823,2
17871,2
17869,2
2205,2
17868,2
10413,2
7731,2
7730,2
17864,2
16032,2
10419,2
9029,2
19263,2
10461,2
9031,2
8949,2
16034,2
4189,2
17908,2
14911,2
2269,2
8729,2
18925,2
8706,2
8775,2
4157,2
15292,2
8774,2
17936,2
14870,2
10485,2
8966,2
2270,2
10323,2
14875,2
9105,2
10325,2
14879,2
8524,2
17931,2
10328,2
2125,2
13750,2
8967,2
14867,2
10314,2
17951,2
17950,2
10297,2
10299,2
9118,2
2354,2
2353,2
2352,2
17947,2
7780,2
2348,2
10303,2
13749,2
5336,2
15130,2
10313,2
2336,2
3890,2
15294,2
14883,2
2127,2
9008,2
17919,2
20632,2
10350,2
14902,2
8728,2
9071,2
15267,2
3930,2
8769,2
8767,2
10354,2
2132,2
17914,2
2279,2
17913,2
9067,2
10359,2
2274,2
14908,2
20644,2
17918,2
8569,2
3970,2
8617,2
4343,2
3776,2
18928,2
9096,2
2308,2
9095,2
8571,2
15282,2
9092,2
17925,2
14889,2
8622,2
15278,2
3787,2
4217,2
10475,2
9081,2
10341,2
10342,2
9636,2
2582,2
13979,2
15528,2
8841,2
3292,2
9811,2
4973,2
9523,2
15704,2
15076,2
9819,2
2941,2
18896,2
4752,2
3304,2
4987,2
4993,2
3316,2
2925,2
2923,2
14563,2
2922,2
8833,2
3319,2
4088,2
2920,2
2919,2
18250,2
4962,2
2967,2
3289,2
4946,2
14352,2
9765,2
14350,2
20029,2
18418,2
15563,2
9538,2
8105,2
15558,2
4076,2
15554,2
9784,2
4961,2
20048,2
14333,2
9788,2
9790,2
20055,2
20056,2
8093,2
15687,2
3284,2
2972,2
15550,2
4998,2
15722,2
9913,2
15526,2
8828,2
5034,2
3368,2
9464,2
8827,2
9462,2
14240,2
2859,2
15749,2
15503,2
9457,2
18867,2
15750,2
8884,2
9451,2
9895,2
14228,2
3391,2
9447,2
3394,2
9904,2
3395,2
9443,2
15490,2
9911,2
15740,2
5026,2
5025,2
14580,2
2910,2
2909,2
3329,2
9848,2
5009,2
18870,2
19059,2
15519,2
3338,2
3340,2
4727,2
4726,2
3360,2
2892,2
14583,2
8881,2
8831,2
3353,2
2887,2
14589,2
20129,2
2881,2
8830,2
5024,2
18872,2
15566,2
3265,2
15567,2
9687,2
8854,2
8869,2
8198,2
4812,2
9691,2
3105,2
4810,2
9694,2
9695,2
15639,2
14485,2
3212,2
4058,2
14486,2
8142,2
15585,2
3218,2
4885,2
4279,2
15641,2
4889,2
3219,2
4064,2
9704,2
15637,2
14479,2
14413,2
3139,2
9640,2
10563,2
15615,2
9630,2
8665,2
9648,2
9650,2
15059,2
8862,2
9659,2
15061,2
15626,2
8855,2
3136,2
4827,2
4861,2
4862,2
9612,2
9607,2
15631,2
4870,2
4871,2
9606,2
