location,n
2519,27
3526,27
6036,27
2289,27
7127,27
11427,27
9119,27
10052,27
4949,27
8959,27
7954,27
9039,27
8265,27
1773,27
9074,27
547,27
4778,27
12106,27
4948,27
2334,27
10538,27
6276,27
10406,27
3615,26
4685,26
11405,26
12206,26
11477,26
9686,26
6455,26
7157,26
6693,26
5038,26
1062,26
8770,26
5668,26
1102,26
5883,26
7382,26
11891,26
8833,26
3706,26
621,26
4097,26
11390,26
1626,26
10920,26
10779,26
4951,26
10776,26
11816,26
2402,26
6033,26
10613,26
8195,26
9225,26
659,26
8259,26
5709,26
8330,26
11599,26
1365,26
1544,25
11493,25
2137,25
10143,25
9001,25
8305,25
10040,25
4736,25
755,25
2633,25
9295,25
3541,25
290,25
3051,25
542,25
5737,25
11573,25
4321,25
3915,25
735,25
680,25
29,25
10211,25
1434,25
10081,25
319,25
1514,25
10184,25
7599,25
748,25
6339,25
5784,25
1572,25
10298,25
6572,25
541,25
9193,25
4238,25
11302,25
4284,25
11994,25
12167,25
6461,25
5374,25
2741,25
11638,25
10527,25
9052,25
11533,25
5827,25
2552,25
10586,25
5418,25
1540,25
7394,25
5786,24
437,24
3175,24
3931,24
446,24
5913,24
6449,24
10219,24
6831,24
1173,24
9657,24
2744,24
6640,24
7760,24
1573,24
732,24
8080,24
8423,24
2406,24
3228,24
331,24
2492,24
9452,24
6129,24
6748,24
10475,24
8939,24
3702,24
3158,24
11629,24
4444,24
11986,24
1022,24
3114,24
6595,24
10400,24
6827,24
11943,24
2131,24
8028,24
5279,24
2774,24
829,24
2387,24
5818,24
4592,24
8484,23
844,23
2940,23
12076,23
823,23
10529,23
11021,23
5463,23
6019,23
3885,23
1821,23
3608,23
10416,23
5971,23
4737,23
350,23
8063,23
4605,23
6520,23
1958,23
1438,23
8231,23
5398,23
12229,23
9106,23
10803,23
10894,23
8521,23
3696,22
9825,22
9125,22
6257,22
7664,22
6949,22
1807,22
12187,22
57,22
11494,22
75,22
8182,22
6773,22
865,22
1894,22
10161,22
5220,22
9637,22
2768,22
8654,22
5366,22
7072,22
3343,22
788,22
7228,22
5407,22
1127,22
9503,22
6672,22
2577,22
4529,22
8786,22
6606,22
5645,22
4234,22
9936,22
2953,22
6012,22
4385,22
10615,22
10851,22
4110,22
9732,22
3463,22
6047,22
9939,22
9508,22
66,22
7643,22
5573,22
7587,22
5903,22
4627,22
9030,22
10580,21
7058,21
7559,21
2169,21
756,21
4563,21
10941,21
3930,21
645,21
9985,21
4943,21
12041,21
8796,21
664,21
2922,21
6435,21
2758,21
9102,21
5700,21
6741,21
895,21
6094,21
5592,21
10545,21
2105,21
4100,21
8794,21
7985,21
12016,21
4534,21
8254,21
8276,21
6211,21
7312,21
4088,21
4789,21
1196,21
323,21
3916,21
6318,21
6685,21
910,21
3,21
3808,21
5537,21
10848,21
3877,21
4201,21
11473,21
3203,21
3900,21
8581,21
3437,21
10880,21
110,21
3853,21
10948,21
1415,21
10567,21
2575,21
1758,21
5584,21
9730,21
10263,21
610,21
4579,21
4550,21
3317,21
10199,21
9276,21
10528,21
10925,21
5004,21
1718,21
3744,20
7232,20
11124,20
1977,20
94,20
11552,20
8675,20
4939,20
11099,20
2845,20
