,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
102,spatial,100000,1,1,1,5000,1,cnn,4.749072205,,,,50,721.9283774
103,spatial,100000,1,1,1,5000,2,ohe,1.690254918,,,,50,85.23764992
104,spatial,100000,1,1,1,5000,2,ignore,1.887463189,,,,50,9.547537565
105,spatial,100000,1,1,1,5000,2,embed,1.58417777,,,,50,12.33463883
106,spatial,100000,1,1,1,5000,2,lmm,1.165426978,1.158590198,1.02273488,0.941767514,50,132.5417364
107,spatial,100000,1,1,1,5000,2,svdkl,4.579050422,0.693247199,0.455717444,1.363713384,50,129.1142228
108,spatial,100000,1,1,1,5000,2,cnn,4.613198925,,,,50,722.4499898
109,spatial,100000,1,1,1,5000,3,ohe,1.644347401,,,,50,85.75035977
110,spatial,100000,1,1,1,5000,3,ignore,1.806257593,,,,50,9.551008224
111,spatial,100000,1,1,1,5000,3,embed,1.587846517,,,,50,12.35796046
112,spatial,100000,1,1,1,5000,3,lmm,1.152555402,1.170834661,0.615505457,0.703129172,50,133.4174905
113,spatial,100000,1,1,1,5000,3,svdkl,4.120158217,0.693247199,0.457014769,1.366748691,50,130.5560381
114,spatial,100000,1,1,1,5000,3,cnn,4.189893001,,,,50,721.0322514
115,spatial,100000,1,1,1,5000,4,ohe,1.644698369,,,,50,85.07265329
116,spatial,100000,1,1,1,5000,4,ignore,1.815943622,,,,50,9.446062326
117,spatial,100000,1,1,1,5000,4,embed,1.56446149,,,,50,12.17747545
118,spatial,100000,1,1,1,5000,4,lmm,1.167212043,1.16711998,1.01031065,0.940575182,50,132.9083984
119,spatial,100000,1,1,1,5000,4,svdkl,4.590804404,0.693247199,0.459086239,1.337041855,50,129.9123983
120,spatial,100000,1,1,1,5000,4,cnn,4.635535131,,,,50,722.0365326
121,spatial,100000,1,1,1,10000,0,ohe,1.824098547,,,,50,170.0152566
122,spatial,100000,1,1,1,10000,0,ignore,1.796251318,,,,50,9.070898771
123,spatial,100000,1,1,1,10000,0,embed,1.787050319,,,,50,11.73641777
124,spatial,100000,1,1,1,10000,0,lmm,1.166250886,1.165990829,1.010164022,0.945099473,50,149.7548156
125,spatial,100000,1,1,1,10000,0,svdkl,4.406760615,0.693247199,0.460437953,1.341693044,50,131.6298683
126,spatial,100000,1,1,1,10000,0,cnn,4.52937139,,,,50,741.7235024
127,spatial,100000,1,1,1,10000,1,ohe,1.814152547,,,,50,172.665977
128,spatial,100000,1,1,1,10000,1,ignore,1.771697371,,,,50,9.249202251
129,spatial,100000,1,1,1,10000,1,embed,1.819099357,,,,50,11.90222692
130,spatial,100000,1,1,1,10000,1,lmm,1.152611678,1.177155137,1.088034272,1.042591214,50,149.9405081
131,spatial,100000,1,1,1,10000,1,svdkl,4.655765983,0.693247199,0.456222236,1.347783923,50,131.4368672
132,spatial,100000,1,1,1,10000,1,cnn,4.739221267,,,,50,739.3312912
133,spatial,100000,1,1,1,10000,2,ohe,1.811848324,,,,50,174.0523369
134,spatial,100000,1,1,1,10000,2,ignore,1.862284321,,,,50,9.2015903
135,spatial,100000,1,1,1,10000,2,embed,1.805474343,,,,50,21.99006438
136,spatial,100000,1,1,1,10000,2,lmm,1.104575867,1.162080526,1.070238471,0.974148571,50,150.5380836
137,spatial,100000,1,1,1,10000,2,svdkl,4.653577061,0.693247199,0.45122385,1.363270044,50,131.9199524
138,spatial,100000,1,1,1,10000,2,cnn,4.681242898,,,,50,749.5378168
139,spatial,100000,1,1,1,10000,3,ohe,1.852195021,,,,50,171.7921529
140,spatial,100000,1,1,1,10000,3,ignore,1.786576535,,,,50,9.220573902
141,spatial,100000,1,1,1,10000,3,embed,1.82740845,,,,50,11.96039772
142,spatial,100000,1,1,1,10000,3,lmm,1.162838053,1.178308725,1.140254736,1.01905036,50,148.7515287
143,spatial,100000,1,1,1,10000,3,svdkl,4.666617161,0.693247199,0.454762995,1.355172753,50,130.3571217
144,spatial,100000,1,1,1,10000,3,cnn,4.792570315,,,,50,742.4795735
145,spatial,100000,1,1,1,10000,4,ohe,1.768005898,,,,50,170.0528286
146,spatial,100000,1,1,1,10000,4,ignore,1.750578033,,,,50,9.158687353
147,spatial,100000,1,1,1,10000,4,embed,1.793020802,,,,50,11.85816479
148,spatial,100000,1,1,1,10000,4,lmm,1.12677862,1.153034091,1.057289004,1.119392276,50,149.3637526
149,spatial,100000,1,1,1,10000,4,svdkl,4.492313595,0.693247199,0.456825554,1.333028316,50,132.1777058
150,spatial,100000,1,1,1,10000,4,cnn,4.645916569,,,,50,740.7497792
